HouseDescription,Address
"
                                                3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -THEA Model
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            "
"
                                                3 Bedroom House and Lot for Sale at Solviento Villas Phase 4 (Sofia)
                    ","
                                
                                                                    Molino III, Bacoor
                                                            "
"
                                                House and Lot at Acropolis at Golden Horizon in Trece Martires, Cavite (Sofia)
                    ","
                                
                                                                    Perez, Trece Martires
                                                            "
"
                                                2 Bedroom House and Lot (End Corner) at Phirst Park Homes Calamba 
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                2 Bedroom House and Lot (Mid) at Phirst Park Homes Calamba 
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -MARG...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                4-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -BRIANA Model
                    ","
                                
                                                                    Alapan II-A, Imus
                                                            "
"
                                                3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -CHES...
                    ","
                                
                                                                    Pasong Camachile I, General Trias
                                                            "
"
                                                3 Bedroom (Amanda-End) Townhouse for sale at Hamilton Executive Residences
                    ","
                                
                                                                    Malagasang II-E, Imus
                                                            "
"
                                                3 Bedroom (Astrid Regular) Townhouse Unit for sale at Neuville Townhomes
                    ","
                                
                                                                    Sanja Mayor, Tanza
                                                            "
"
                                                Two Bedrooms for Sale in 8Forbestown Road
                    ","
                                
                                                                    Taguig
                                                            "
"
                                                Zen Design 4 Bedroom Elegant House And Lot In BF Homes Paranaque
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                RENT TO OWN HOUSE AND LOT AIRA MODEL SINGLE ATTACHED
                    ","
                                
                                                                    General Trias
                                                            "
"
                                                LARGEST House & Land Package for sale or swap in Pampanga under 40M
                    ","
                                
                                                                    Dau, Mabalacat
                                                            "
"
                                                Ready for Occupancy 4-bedroom house and lot in Talisay, Cebu
                    ","
                                
                                                                    Talamban, Cebu
                                                            "
"
                                                Camella Trece 2 BR 2 Storey Single House at 14k monthly
                    ","
                                
                                                                    Cabuco, Trece Martires
                                                            "
"
                                                3 Bedroom House and Lot in Pasig City
                    ","
                                
                                                                    Santa Lucia, Pasig
                                                            "
"
                                                As Low as ₱28,090.23 3BRSingleAttched in YCPPropertiesatBaseViewHomes-WALNUT
                    ","
                                
                                                                    Sico, Lipa
                                                            "
"
                                                2-Storey House & Lot for Rush Sale in Soto Grande Subdivision, Tagaytay
                    ","
                                
                                                                    Mendez Crossing West, Tagaytay
                                                            "
"
                                                2 Storey Townhouses in Molino, Bacoor, Cavite, 5 mins. away from SM Molino 
                    ","
                                
                                                                    Molino IV, Bacoor
                                                            "
"
                                                Brand New 3Bedroom house and lot - Camella
                    ","
                                
                                                                    Longos, Malolos
                                                            "
"
                                                MODERN HOUSE AND LOT FOR SALE IN AYALA HILLSIDE QUEZON CITY
                    ","
                                
                                                                    Ayala Hillside Estate, Quezon City
                                                            "
"
                                                AFFORDABLE HOUSE AND LOT IN SILANG CAVITE CAMELLA TERRAZZAS -GRETA MODEL 
                    ","
                                
                                                                    Biga I, Silang
                                                            "
"
                                                3 Bedrooms, 3 bathrooms and 2 carports for sale
                    ","
                                
                                                                    Pampang, Angeles
                                                            "
"
                                                Mahogany Place 1 Brand New House 3BR 2 Parking 127 sqm
                    ","
                                
                                                                    Ususan, Taguig
                                                            "
"
                                                A 3 storey house and 2 buildings for sale
                    ","
                                
                                                                    Burol, Dasmariñas
                                                            "
"
                                                For Sale House and Lot with 2 Car Garage, North Orchard Residences, Bulacan
                    ","
                                
                                                                    Caysio, Santa Maria
                                                            "
"
                                                Ezabelle House and Lot in Camella Calamba for Sale
                    ","
                                
                                                                    Palo-Alto, Calamba
                                                            "
"
                                                350,000 DISCOUNT! 3BR Single Detached in Mahogany Place Lipa-Peppermint Model
                    ","
                                
                                                                    Kayumanggi, Lipa
                                                            "
"
                                                Bungalow House for sale in St. Justine Heights at Lumbia Proper
                    ","
                                
                                                                    Lumbia, Cagayan de Oro
                                                            "
"
                                                Ayala Alabang House and Lot for Sale
                    ","
                                
                                                                    Ayala Alabang, Muntinlupa
                                                            "
"
                                                Bamboo Bay Residences - House and Lot for Sale in  Liloan Cebu
                    ","
                                
                                                                    Catarman, Liloan
                                                            "
"
                                                2BR BUNGALOW HOUSE AVAILABLE IN KEY CITIES VALENCIA, CDO, TAGUM, MORE.
                    ","
                                
                                                                    Cagayan de Oro
                                                            "
"
                                                House & Lot for Sale in United Hills Subd
                    ","
                                
                                                                    San Martin de Porres, Parañaque
                                                            "
"
                                                PreSelling House In Talisay Near Talisay City Hall and SRP
                    ","
                                
                                                                    Pooc, Talisay
                                                            "
"
                                                Camella Homes Bungalow 4 bedroom House
                    ","
                                
                                                                    Carmen, Cagayan de Oro
                                                            "
"
                                                Beautiful and well-maintained Zen-type house with big garden and fruit trees
                    ","
                                
                                                                    Kaytapos, Indang
                                                            "
"
                                                 NUVALI Avida Settings House and Lot For Sale
                    ","
                                
                                                                    Canlubang, Calamba
                                                            "
"
                                                Pre-Selling! Townhouse Located at Annex 31 Better Living, Parañaque City
                    ","
                                
                                                                    Better Living Subdivision, Parañaque
                                                            "
"
                                                House & Lot For Sale
                    ","
                                
                                                                    Tawason, Mandaue
                                                            "
"
                                                Pre- Selling! 2 storey House and lot for sale Located at Molino Bacoor Cavite
                    ","
                                
                                                                    Molino I, Bacoor
                                                            "
"
                                                Theresa Heights Single Detached
                    ","
                                
                                                                    San Jose, Rodriguez
                                                            "
"
                                                3
                    ","
                                
                                                                    Tugos, Sorsogon
                                                            "
"
                                                4 Bedrooms Single Attached House 2level Concepcion Marikina
                    ","
                                
                                                                    Concepcion Uno, Marikina
                                                            "
"
                                                4 Bedrooms House & Lot for sale Modena Lilo an Cebu
                    ","
                                
                                                                    San Vicente, Liloan
                                                            "
"
                                                brand new modern house in bf homes
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                House & Lot for sale in Paranaque Nr Airport, SM BF, City Hall, MOA
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Townhouse for Sale in Jestra Villas Sav5, 2 Bedrooms, Parañaque, Metro Manila, Pearly...
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Various lots for sale Makati commercial and residential
                    ","
                                
                                                                    Palanan, Makati
                                                            "
"
                                                Idyllic Palawan Beach Property
                    ","
                                
                                                                    Busuanga
                                                            "
"
                                                3 Bedrooms house and lot for sale in calamba laguna near turbina Blk 3 Lot 12
                    ","
                                
                                                                    Calamba
                                                            "
"
                                                House and lot for sale in calamba near turbina and calamba exit blk 3 lot 14
                    ","
                                
                                                                    Calamba
                                                            "
"
                                                Single attached house and lot in calamba laguna near turbina blk 3 lot 15
                    ","
                                
                                                                    Calamba
                                                            "
"
                                                Tiffany Village house and lot for sale along national highway blk 1 lot 42
                    ","
                                
                                                                    Calamba
                                                            "
"
                                                House and lot for sale in Calamba Laguna, near Sto. Tomas Exit. blk 2 lot 6
                    ","
                                
                                                                    Calamba
                                                            "
"
                                                house and lot for sale in binan laguna near alabang and carmona exit
                    ","
                                
                                                                    Biñan
                                                            "
"
                                                1 bedroom Near Along Shaw Boulevard The Paddington Place By Empire East
                    ","
                                
                                                                    Mandaluyong
                                                            "
"
                                                Ocean View House for Sale  in Dauis, Panglao Island, Bohol
                    ","
                                
                                                                    Songculan, Dauis
                                                            "
"
                                                Townhouse for Sale near San Ezekiel Church and Sipag Center C5 Rd
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                Elegant 3 Bedroom Townhouse near St Joseph Academy and Las Pinas Bamboo Organ
                    ","
                                
                                                                    Las Piñas
                                                            "
"
                                                House and Lot Single Attached in Kawit Cavite near EVO City
                    ","
                                
                                                                    Cavite City
                                                            "
"
                                                3 BR House and Lot for Assume Jagobiao Mandaue City
                    ","
                                
                                                                    Jagobiao, Mandaue
                                                            "
"
                                                Two Storey House and Lot in Ayala Greenfield Estates For Sale
                    ","
                                
                                                                    Calamba
                                                            "
"
                                                Townhouse in Mandaluyong for sale, one block away from Boni Avenue
                    ","
                                
                                                                    Barangka Ilaya, Mandaluyong
                                                            "
"
                                                Townhouse in Paranaque Near SM City Sucat and Airport
                    ","
                                
                                                                    San Dionisio, Parañaque
                                                            "
"
                                                4 BR House near Tagaytay
                    ","
                                
                                                                    Lumil, Silang
                                                            "
"
                                                Resale 1 BR unit in Viera Residences Quezon city near ABS CBN GMA U-Belt
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Caterina Model at Suntrust Siena Hills, Lipa City, Batangas
                    ","
                                
                                                                    Lipa
                                                            "
"
                                                4 Bedroom Duplex For Sale In Paranaque
                    ","
                                
                                                                    Manuyo Dos, Las Piñas
                                                            "
"
                                                Emmanuel Model at Vigan Living designs at Summit Point Lipa Batangas
                    ","
                                
                                                                    Lipa
                                                            "
"
                                                Affordable Single Attached House at Casa Guadalupe Homes, Lipa Batangas
                    ","
                                
                                                                    Lipa
                                                            "
"
                                                For Rent or Sale Brand New Furnish Affordable Duplex House
                    ","
                                
                                                                    Liloan
                                                            "
"
                                                Townhouse For Sale near SM Southmall
                    ","
                                
                                                                    Talon Singko, Las Piñas
                                                            "
"
                                                Townhouse in Paranaque near airport
                    ","
                                
                                                                    San Dionisio, Parañaque
                                                            "
"
                                                Alaminos City Pangasinan Property for sale
                    ","
                                
                                                                    Lucap, Alaminos
                                                            "
"
                                                3-storey Home with Garden, Balconies, Teppanyaki, & Cellar
                    ","
                                
                                                                    Calamba
                                                            "
"
                                                3 bedroom house for sale in Calamba City
                    ","
                                
                                                                    Calamba
                                                            "
"
                                                For Sale: Three-storey 3 BR House and Lot in BF Resort Village, Las Piñas City
                    ","
                                
                                                                    B.F. International Village, Las Piñas
                                                            "
"
                                                The Gramercy Residences, 1BR Loft for SALE
                    ","
                                
                                                                    Makati
                                                            "
"
                                                3BR for Sale at The Milano Residences
                    ","
                                
                                                                    Makati
                                                            "
"
                                                1BR for Sale at The Gramercy Residences
                    ","
                                
                                                                    Makati
                                                            "
"
                                                Centuria Medical Makati, Clinic Space for Sale
                    ","
                                
                                                                    Makati
                                                            "
"
                                                West Pointe Subdivision, brgy. Mahabang Parang, Binangonan, Rizal
                    ","
                                
                                                                    Binangonan
                                                            "
"
                                                Rent to own
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                2 Bedroom 60 sqm at Solano Hills Sucat Paranaque
                    ","
                                
                                                                    Muntinlupa
                                                            "
"
                                                Subdivision Lot for Sale
                    ","
                                
                                                                    Bacolod
                                                            "
"
                                                Greenwoods Village, Dasmariñas, Cavite
                    ","
                                
                                                                    Dasmariñas
                                                            "
"
                                                Pearl Place,Ortigas, Mandaluyong,Pasig Area, Near Megamall, 2br 32G
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                35 sqm house for sale in capas tarlac
                    ","
                                
                                                                    Cutcut 1st, Capas
                                                            "
"
                                                Last 1BR Unit in the Viridian Greenhills with up to 6 Percent discount*
                    ","
                                
                                                                    San Juan
                                                            "
"
                                                Mirea Residences by DMCI Homes Amang Rodriguez Pasig City
                    ","
                                
                                                                    Pasig
                                                            "
"
                                                Raya Gardens, West Service Road, Merville, Near Airport,BGC and Makati
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                2000 Sqm Titled Land In Soong Lapu-Lapu @ Php8000 per sqm@Php 16M
                    ","
                                
                                                                    Mactan, Lapu-Lapu
                                                            "
"
                                                RFO One BR Lahug Cebu City Near IT Park
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                Pre-Owned Single Detached 2 Storey house
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Brand New 2 Storey 4 bedrooms, 240 sqm lot, 315 sqm floor, BF Homes,Paranaque
                    ","
                                
                                                                    Parañaque
                                                            "
"
                                                Mabalacat Dau Pampanga, Clark Manor Subd. close to NLEX & Bus terminal
                    ","
                                
                                                                    Mabalacat
                                                            "
"
                                                Comercial site Angeles City Near Clark with Brand New House & Small house P 7.5M
                    ","
                                
                                                                    Angeles
                                                            "
"
                                                Angeles City Brand New House 2 Storey PHP 2,950,000
                    ","
                                
                                                                    Angeles
                                                            "
"
                                                Apartments in Angeles City Near Clark 8 Units Fully Furnished P 13.5M
                    ","
                                
                                                                    Angeles
                                                            "
"
                                                Philippines Angeles City Pampan 2 Storey  House Near Clark Php 8.5M
                    ","
                                
                                                                    Angeles
                                                            "
"
                                                Prime Beach Front Property Catangnan, General Luna, Beside Kalinaw Resort w Road
                    ","
                                
                                                                    General Luna
                                                            "
"
                                                3 Bedroom Townhouse for sale Quezon City
                    ","
                                
                                                                    Sauyo, Quezon City
                                                            "
"
                                                Fully Furnished House and Lot for Sale
                    ","
                                
                                                                    Magugpo East, Tagum
                                                            "
"
                                                House and Lot (287sqm lot area)(4br and 3 balcony)at Antel Grand Village
                    ","
                                
                                                                    General Trias
                                                            "
"
                                                Native Style House with Loft for Sale
                    ","
                                
                                                                    Poblacion I, Dauin
                                                            "
"
                                                nr City Hall House and Lot for sale in Tandang Sora nr Commonwealth Quezon City
                    ","
                                
                                                                    Commonwealth, Quezon City
                                                            "
"
                                                3 Storey Townhouse for sale in Teachers Village Diliman Quezon City
                    ","
                                
                                                                    Teachers Village East, Quezon City
                                                            "
"
                                                5BR Townhouse for sale in Tandang Sora nr Commonwealth Congressional Quezon City
                    ","
                                
                                                                    Tandang Sora, Quezon City
                                                            "
"
                                                Brand New Townhouse for sale in Tandang Sora near Congressional Quezon City
                    ","
                                
                                                                    Congressional Avenue, Quezon City
                                                            "
"
                                                Modern Townhouse for sale in Tandang Sora near Commonwealth Quezon City
                    ","
                                
                                                                    Commonwealth, Quezon City
                                                            "
"
                                                House and Lot for sale Don Enrique Heights Holy Spirit Commonwealth Quezon City
                    ","
                                
                                                                    Commonwealth, Quezon City
                                                            "
"
                                                3 bedroom in Quezon City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3BR Single Attached House and Lot at Trece martires City
                    ","
                                
                                                                    Perez, Trece Martires
                                                            "
"
                                                FULLY FURNISHED HOUSE AND LOT FOR SALE WITH SWIMMING POOL
                    ","
                                
                                                                    Balayagmanok, Valencia
                                                            "
"
                                                5 Bedroom Townhouse for sale in Tandang Sora near Congressional Quezon City 
                    ","
                                
                                                                    Congressional Avenue, Quezon City
                                                            "
"
                                                Lancaster New City Cavite Thea Townhouse in Cavite
                    ","
                                
                                                                    Imus
                                                            "
"
                                                1 Bedroom RFO Fully-furnished in Eastwood City
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                3 Bedroom Single Detached Bungalow  in Angeles Pampanga
                    ","
                                
                                                                    Angeles
                                                            "
"
                                                Single Attached House in San Jose Del Monte Bulacan
                    ","
                                
                                                                    San Jose del Monte
                                                            "
"
                                                2 Storey Modern Designed House
                    ","
                                
                                                                    Bacolod
                                                            "
"
                                                Best Fully Finished Single Attached - Amara Expanded at Amaresa 2
                    ","
                                
                                                                    San Jose del Monte
                                                            "
"
                                                3 Bedroom Italian Style House
                    ","
                                
                                                                    Bacolod
                                                            "
"
                                                Contemporary Two Stories House in Busay
                    ","
                                
                                                                    Cebu
                                                            "
"
                                                1-Bedroom End Unit with Balcony 27th floor unit 31 City view
                    ","
                                
                                                                    Quezon City
                                                            "
"
                                                Elegant and Affordable House and Lot For Sale in Calamba, Laguna
                    ","
                                
                                                                    Calamba
                                                            "
"
                                                1 Bedroom Unit 18B Westin Residences beside Sm Megamall,Shangrila & San Miguel
                    ","
                                
                                                                    Mandaluyong
                                                            "
"
                                                For Sale in Mercedes Ave Pasig 3 Storey 4 bedroom Townhouse with 1 car garage
                    ","
                                
                                                                    San Miguel, Pasig
                                                            "
"
                                                RFO for Sale in Roxas Quezon city 2Storey Townhouse with 2 car garage
                    ","
                                
                                                                    Roxas, Quezon City
                                                            "
"
                                                Parañaque City 4 Bedrooms Townhouse with 1 Car Garage for Sale
                    ","
                                
                                                                    B.F. Homes, Parañaque
                                                            "
"
                                                Pasig 2 Storey Townhouse with2 Bedrooms and 1 Car Garage for Sale
                    ","
                                
                                                                    San Miguel, Pasig
                                                            "
"
                                                Ready For Occupancy Unit In Antipolo City
                    ","
                                
                                                                    Cupang, Antipolo
                                                            "
"
                                                House in Banilad Cebu City With Swimming Pool
                    ","
                                
                                                                    Banilad, Cebu
                                                            "
"
                                                House and Lot in Valenzuela City - 90 sqm
                    ","
                                
                                                                    Viente Reales, Valenzuela
                                                            "
"
                                                3 car garage townhouse in plainview mandaluyong city nr boni serrano
                    ","
                                
                                                                    Plainview, Mandaluyong
                                                            "
"
                                                4 storey townhouse with 3 BR and 1 car garage in San Juan Area
                    ","
                                
                                                                    Kabayanan, San Juan
                                                            "
"
                                                4 Bedroom House and Lot for Sale in Las Piñas City
                    ","
                                
                                                                    Talon Kuatro, Las Piñas
                                                            "
"
                                                 82.40 sqm Affordable House for sale in Minglanilla Cebu
                    ","
                                
                                                                    Poblacion Ward I, Minglanilla
                                                            "
"
                                                House and lot 99 sqm  for sale along C. Almeda, Pateros
                    ","
                                
                                                                    San Pedro, Pateros
                                                            "
"
                                                For Sale Townhouse in Quezon City Three Storey Unit near Edsa - MP
                    ","
                                
                                                                    Cubao, Quezon City
                                                            "
"
                                                For Sale Single Detached House and Lot in Paranaque BF Northwest - MP
                    ","
                                
                                                                    B.F. Homes, Parañaque
                                                            "
"
                                                Near Puregold Brandnew Santa Mesa Compound Townhouse Unit For Sale -AC
                    ","
                                
                                                                    Santa Mesa, Manila
                                                            "
"
                                                Near SM V. Mapa Brandnew 2CG San Juan Townhouse  -AC
                    ","
                                
                                                                    Balong-Bato, San Juan
                                                            "
"
                                                With 3BR Affordable Quezon City Cubao Townhouse for Sale 6.5M only -AC
                    ","
                                
                                                                    Cubao, Quezon City
                                                            "
