HouseDescription,Address,Cost
"
                                                Centuria Medical Makati, Clinic Space for Sale
                    ","
                                
                                                                    Makati
                                                            ","
                                        ₱ 5,000,000 
                                    "
"
                                                Rent to own
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 5,000,000 
                                    "
"
                                                Subdivision Lot for Sale
                    ","
                                
                                                                    Bacolod
                                                            ","
                                        ₱ 1,000,000 
                                    "
"
                                                35 sqm house for sale in capas tarlac
                    ","
                                
                                                                    Cutcut 1st, Capas
                                                            ","
                                        ₱ 940,000 
                                    "
"
                                                Brand New 2 Storey 4 bedrooms, 240 sqm lot, 315 sqm floor, BF Homes,Paranaque
                    ","
                                
                                                                    Parañaque
                                                            ","
                                        ₱ 15,500,000 
                                    "
"
                                                3 Bedroom Townhouse for sale Quezon City
                    ","
                                
                                                                    Sauyo, Quezon City
                                                            ","
                                        ₱ 5,497,000 
                                    "
"
                                                Fully Furnished House and Lot for Sale
                    ","
                                
                                                                    Magugpo East, Tagum
                                                            ","
                                        ₱ 23,000,000 
                                    "
"
                                                House and Lot (287sqm lot area)(4br and 3 balcony)at Antel Grand Village
                    ","
                                
                                                                    General Trias
                                                            ","
                                        ₱ 19,172,475 
                                    "
"
                                                Native Style House with Loft for Sale
                    ","
                                
                                                                    Poblacion I, Dauin
                                                            ","
                                        ₱ 2,600,000 
                                    "
"
                                                nr City Hall House and Lot for sale in Tandang Sora nr Commonwealth Quezon City
                    ","
                                
                                                                    Commonwealth, Quezon City
                                                            ","
                                        ₱ 11,500,000 
                                    "
"
                                                3 Storey Townhouse for sale in Teachers Village Diliman Quezon City
                    ","
                                
                                                                    Teachers Village East, Quezon City
                                                            ","
                                        ₱ 18,500,000 
                                    "
"
                                                5BR Townhouse for sale in Tandang Sora nr Commonwealth Congressional Quezon City
                    ","
                                
                                                                    Tandang Sora, Quezon City
                                                            ","
                                        ₱ 11,500,000 
                                    "
"
                                                Brand New Townhouse for sale in Tandang Sora near Congressional Quezon City
                    ","
                                
                                                                    Congressional Avenue, Quezon City
                                                            ","
                                        ₱ 11,500,000 
                                    "
"
                                                Modern Townhouse for sale in Tandang Sora near Commonwealth Quezon City
                    ","
                                
                                                                    Commonwealth, Quezon City
                                                            ","
                                        ₱ 11,500,000 
                                    "
"
                                                House and Lot for sale Don Enrique Heights Holy Spirit Commonwealth Quezon City
                    ","
                                
                                                                    Commonwealth, Quezon City
                                                            ","
                                        ₱ 22,000,000 
                                    "
"
                                                3 bedroom in Quezon City
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 6,740,000 
                                    "
"
                                                3BR Single Attached House and Lot at Trece martires City
                    ","
                                
                                                                    Perez, Trece Martires
                                                            ","
                                        ₱ 4,170,496 
                                    "
"
                                                FULLY FURNISHED HOUSE AND LOT FOR SALE WITH SWIMMING POOL
                    ","
                                
                                                                    Balayagmanok, Valencia
                                                            ","
                                        ₱ 16,000,000 
                                    "
"
                                                5 Bedroom Townhouse for sale in Tandang Sora near Congressional Quezon City 
                    ","
                                
                                                                    Congressional Avenue, Quezon City
                                                            ","
                                        ₱ 11,500,000 
                                    "
"
                                                Lancaster New City Cavite Thea Townhouse in Cavite
                    ","
                                
                                                                    Imus
                                                            ","
                                        ₱ 1,983,960 
                                    "
"
                                                1 Bedroom RFO Fully-furnished in Eastwood City
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 6,667,500 
                                    "
"
                                                1-Bedroom End Unit with Balcony 27th floor unit 31 City view
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 4,700,000 
                                    "
"
                                                Elegant and Affordable House and Lot For Sale in Calamba, Laguna
                    ","
                                
                                                                    Calamba
                                                            ","
                                        ₱ 6,650,298 
                                    "
"
                                                For Sale in Mercedes Ave Pasig 3 Storey 4 bedroom Townhouse with 1 car garage
                    ","
                                
                                                                    San Miguel, Pasig
                                                            ","
                                        ₱ 4,900,001 
                                    "
"
                                                RFO for Sale in Roxas Quezon city 2Storey Townhouse with 2 car garage
                    ","
                                
                                                                    Roxas, Quezon City
                                                            ","
                                        ₱ 12,500,005 
                                    "
"
                                                Parañaque City 4 Bedrooms Townhouse with 1 Car Garage for Sale
                    ","
                                
                                                                    B.F. Homes, Parañaque
                                                            ","
                                        ₱ 5,960,169 
                                    "
"
                                                Pasig 2 Storey Townhouse with2 Bedrooms and 1 Car Garage for Sale
                    ","
                                
                                                                    San Miguel, Pasig
                                                            ","
                                        ₱ 4,395,000 
                                    "
"
                                                Ready For Occupancy Unit In Antipolo City
                    ","
                                
                                                                    Cupang, Antipolo
                                                            ","
                                        ₱ 2,650,000 
                                    "
"
                                                House in Banilad Cebu City With Swimming Pool
                    ","
                                
                                                                    Banilad, Cebu
                                                            ","
                                        ₱ 45,000,000 
                                    "
"
                                                House and Lot in Valenzuela City - 90 sqm
                    ","
                                
                                                                    Viente Reales, Valenzuela
                                                            ","
                                        ₱ 5,750,000 
                                    "
"
                                                3 car garage townhouse in plainview mandaluyong city nr boni serrano
                    ","
                                
                                                                    Plainview, Mandaluyong
                                                            ","
                                        ₱ 13,190,006 
                                    "
"
                                                4 storey townhouse with 3 BR and 1 car garage in San Juan Area
                    ","
                                
                                                                    Kabayanan, San Juan
                                                            ","
                                        ₱ 8,700,003 
                                    "
"
                                                4 Bedroom House and Lot for Sale in Las Piñas City
                    ","
                                
                                                                    Talon Kuatro, Las Piñas
                                                            ","
                                        ₱ 5,200,000 
                                    "
"
                                                 82.40 sqm Affordable House for sale in Minglanilla Cebu
                    ","
                                
                                                                    Poblacion Ward I, Minglanilla
                                                            ","
                                        ₱ 4,646,460 
                                    "
"
                                                House and lot 99 sqm  for sale along C. Almeda, Pateros
                    ","
                                
                                                                    San Pedro, Pateros
                                                            ","
                                        ₱ 11,000,000 
                                    "
"
                                                For Sale Townhouse in Quezon City Three Storey Unit near Edsa - MP
                    ","
                                
                                                                    Cubao, Quezon City
                                                            ","
                                        ₱ 7,080,000 
                                    "
"
                                                For Sale Single Detached House and Lot in Paranaque BF Northwest - MP
                    ","
                                
                                                                    B.F. Homes, Parañaque
                                                            ","
                                        ₱ 8,910,000 
                                    "
"
                                                Near Puregold Brandnew Santa Mesa Compound Townhouse Unit For Sale -AC
                    ","
                                
                                                                    Santa Mesa, Manila
                                                            ","
                                        ₱ 14,010,000 
                                    "
"
                                                Near SM V. Mapa Brandnew 2CG San Juan Townhouse  -AC
                    ","
                                
                                                                    Balong-Bato, San Juan
                                                            ","
                                        ₱ 7,900,000 
                                    "
"
                                                With 3BR Affordable Quezon City Cubao Townhouse for Sale 6.5M only -AC
                    ","
                                
                                                                    Cubao, Quezon City
                                                            ","
                                        ₱ 6,500,000 
                                    "
"
                                                 BF Homes Parañaque Affordable Brandnew 4 Bedroom Townhouse for Sale in -AC
                    ","
                                
                                                                    B.F. Homes, Parañaque
                                                            ","
                                        ₱ 5,900,000 
                                    "
"
                                                For Sale 2 Car Garage San Juan Townhouse near N. Domingo -AC
                    ","
                                
                                                                    Balong-Bato, San Juan
                                                            ","
                                        ₱ 7,900,000 
                                    "
"
                                                Tiffany Village, 2 BR Townhouse near Highway for sale
                    ","
                                
                                                                    Makiling, Calamba
                                                            ","
                                        ₱ 2,039,919 
                                    "
"
                                                Fully-Renovated Residential Commercial for Sale in BF Homes Las Piñas
                    ","
                                
                                                                    B.F. Homes, Parañaque
                                                            ","
                                        ₱ 24,000,000 
                                    "
"
                                                140 sqm Townhouse for Sale at Better Living Annex 2932
                    ","
                                
                                                                    Don Bosco, Parañaque
                                                            ","
                                        ₱ 6,900,000 
                                    "
"
                                                Elyza Model Townhouse in Victoria Highlands 82 sqm
                    ","
                                
                                                                    Santo Domingo, Iriga
                                                            ","
                                        ₱ 3,891,109 
                                    "
"
                                                RFO 4Storey Townhouse 4bedroom with 2 carGarage and balcony forSale in San Juan
                    ","
                                
                                                                    Pasadeña, San Juan
                                                            ","
                                        ₱ 30,000,003 
                                    "
"
                                                Tandang Sora Quezon City 3 Storey Townhouse with 4 Car Garage for Sale
                    ","
                                
                                                                    Matandang Balara, Quezon City
                                                            ","
                                        ₱ 18,000,000 
                                    "
"
                                                Quezon City 4 Bedroom Townhouse with 2 Car Garage for Sale
                    ","
                                
                                                                    Roxas, Quezon City
                                                            ","
                                        ₱ 7,800,000 
                                    "
"
                                                Near Greenhills Compound 4Storey Townhouse with 2 car garage for Sale in QC
                    ","
                                
                                                                    Valencia, Quezon City
                                                            ","
                                        ₱ 30,000,000 
                                    "
"
                                                Malate Manila 4 Bedroom Townhouse with 2 Car Garage For Sale near DLSU
                    ","
                                
                                                                    Malate, Manila
                                                            ","
                                        ₱ 14,050,000 
                                    "
"
                                                For Sale in Paco Manila Compound 3Storey Townhouse with 2 car garage-last unit 
                    ","
                                
                                                                    Paco, Manila
                                                            ","
                                        ₱ 32,800,000 
                                    "
"
                                                3 Storey Townhouse in Cubao Quezon City with 3 bedrooms for Sale near P Tuazon
                    ","
                                
                                                                    Cubao, Quezon City
                                                            ","
                                        ₱ 8,320,000 
                                    "
"
                                                Townhouse for Sale in Cubao Quezon City 7 Bedrooms with 1 Car Garage
                    ","
                                
                                                                    Cubao, Quezon City
                                                            ","
                                        ₱ 10,250,000 
                                    "
"
                                                Townhouse for Sale in Cubao Quezon City near Gateway mall
                    ","
                                
                                                                    Cubao, Quezon City
                                                            ","
                                        ₱ 7,990,000 
                                    "
"
                                                2 Car Garage Townhouse in Cubao Quezon City for Sale 3 Storey
                    ","
                                
                                                                    Cubao, Quezon City
                                                            ","
                                        ₱ 28,100,000 
                                    "
"
                                                Palanan Makati City Townhouse with 1 Car Garage for Sale
                    ","
                                
                                                                    Palanan, Makati
                                                            ","
                                        ₱ 12,500,000 
                                    "
"
                                                RFO 3Storey townhouse with 2 car garage for Sale in QC near Chocolate Lover Inc
                    ","
                                
                                                                    Cubao, Quezon City
                                                            ","
                                        ₱ 28,100,000 
                                    "
"
                                                3Storey Townhouse with 2 car garage for Sale in Quezon city near Ptuazon blvd
                    ","
                                
                                                                    Cubao, Quezon City
                                                            ","
                                        ₱ 27,100,001 
                                    "
"
                                                3Storey Townhouse with 5bedrooms and 3 car garage forSale in Culiat Quezon city
                    ","
                                
                                                                    Culiat, Quezon City
                                                            ","
                                        ₱ 18,000,000 
                                    "
"
                                                Brandnew Compound 3Storey Townhouse with 2 car garage for Sale in Tandang Sora
                    ","
                                
                                                                    Tandang Sora, Quezon City
                                                            ","
                                        ₱ 8,000,008 
                                    "
"
                                                San Andres Manila 2 Storey Townhouse with 2 Car Garage for Sale
                    ","
                                
                                                                    San Andres, Manila
                                                            ","
                                        ₱ 9,500,000 
                                    "
"
                                                Quezon City Brandnew Townhouse 2 Car Garage nr SM Cubao 
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 12,930,000 
                                    "
"
                                                Sampaloc Manila 4 Bedrooms Townhouse 2 Car garage for Sale 
                    ","
                                
                                                                    Sampaloc, Manila
                                                            ","
                                        ₱ 13,500,000 
                                    "
"
                                                High End Brandnew 4 Storey Townhouse 3 Car garage  near Greenhills rg
                    ","
                                
                                                                    Pedro Cruz, San Juan
                                                            ","
                                        ₱ 44,230,000 
                                    "
"
                                                Pasig Affordable Townhouse 3 Bedrooms 5.5M only near La Consolacion rg
                    ","
                                
                                                                    San Miguel, Pasig
                                                            ","
                                        ₱ 5,000,000 
                                    "
"
                                                Brand New For Sale Townhouse in Manila Santa Mesa near Magsaysay Blvd - MP
                    ","
                                
                                                                    Santa Mesa, Manila
                                                            ","
                                        ₱ 12,850,000 
                                    "
"
                                                New For Sale Townhouse in Manila near Pedro Gil Tejeron Santa Ana - MP
                    ","
                                
                                                                    Santa Ana, Manila
                                                            ","
                                        ₱ 7,000,000 
                                    "
"
                                                For Sale Townhouse in Makati near Casino St. Palanan - MP
                    ","
                                
                                                                    Palanan, Makati
                                                            ","
                                        ₱ 12,500,000 
                                    "
"
                                                For Sale Townhouse in Paranaque near Greenheights Lopez RFO Unit - MP
                    ","
                                
                                                                    San Isidro, Parañaque
                                                            ","
                                        ₱ 6,800,000 
                                    "
"
                                                For Sale 89 sqm House and Lot in Las Pinas near Naga Road C5 Ext - MP
                    ","
                                
                                                                    Pulang Lupa Uno, Las Piñas
                                                            ","
                                        ₱ 3,980,000 
                                    "
"
                                                43 sqm House in SouthView Homes Sta Rosa Laguna 
                    ","
                                
                                                                    Ibaba, Santa Rosa
                                                            ","
                                        ₱ 1,955,853 
                                    "
"
                                                4 Storey Townhouse Pasig Near Capitol Commons and Estancia Mall
                    ","
                                
                                                                    Oranbo, Pasig
                                                            ","
                                        ₱ 9,600,000 
                                    "
"
                                                3 Bedroom Townhouse Unit Bahayang Pag-asa
                    ","
                                
                                                                    Imus
                                                            ","
                                        ₱ 2,500,000 
                                    "
"
                                                House and Lot for Sale in Antipolo City Rizal, Ferden Realty Corporation
                    ","
                                
                                                                    Antipolo
                                                            ","
                                        ₱ 10,970,000 
                                    "
"
                                                4 Bedroom House and Lot for Sale in Antipolo City Near Robinsons Antipolo
                    ","
                                
                                                                    Antipolo
                                                            ","
                                        ₱ 4,125,000 
                                    "
"
                                                TOWN HOUSE NEAR QUEZON CITY THRU PAGIBIG
                    ","
                                
                                                                    San Mateo
                                                            ","
                                        ₱ 1,030,719 
                                    "
"
                                                Pre-Crafted Homes Facet Model at Batulao Artscapes Nasugbu Batangas
                    ","
                                
                                                                    Nasugbu
                                                            ","
                                        ₱ 11,000,000 
                                    "
"
                                                2 BR TOWNHOUSE IN DASMARINAS CAVITE
                    ","
                                
                                                                    Dasmariñas
                                                            ","
                                        ₱ 1,289,500 
                                    "
"
                                                35 sqm affordable house in Bauan Batangas - Angelique model
                    ","
                                
                                                                    Bauan
                                                            ","
                                        ₱ 785,000 
                                    "
"
                                                3 Bed room Townhouses in Kawit Cavite
                    ","
                                
                                                                    Kawit
                                                            ","
                                        ₱ 2,960,000 
                                    "
"
                                                3BR Townhouse in Project 8 nr Congressional Quezon City
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 6,900,000 
                                    "
"
                                                Newly Built RFO Ready for Occupancy House and Lot Lipa Batangas
                    ","
                                
                                                                    Lipa
                                                            ","
                                        ₱ 5,363,005 
                                    "
"
                                                Beautiful House and lot  for sale in Quezon City Ready for occupancy
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 4,790,000 
                                    "
"
                                                4 Storey Brandnew Townhouse in San Juan for Sale
                    ","
                                
                                                                    San Juan
                                                            ","
                                        ₱ 40,500,000 
                                    "
"
                                                3 bedroom townhouse for sale near LRT-2 Anonas
                    ","
                                
                                                                    Marikina
                                                            ","
                                        ₱ 3,693,000 
                                    "
"
                                                Ready to move in House and lot in Q.C LOW DOWNPAYMENT single firewall
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 4,394,000 
                                    "
"
                                                Pre selling 3 storey 5 Bedroom townhouse for sale in Quezon city
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 7,315,000 
                                    "
"
                                                7.79M Townhouse in Don Antonio Heights Commonwealth QC
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 7,790,000 
                                    "
"
                                                Emerald Unit in Cottonwoods, Antipolo for Sale
                    ","
                                
                                                                    Antipolo
                                                            ","
                                        ₱ 10,756,132 
                                    "
"
                                                For sale lot only in taytay city rizal Monteverde Subdivision
                    ","
                                
                                                                    Taytay
                                                            ","
                                        ₱ 744,000 
                                    "
"
                                                Valle Verde - Dasmariñas Cavite
                    ","
                                
                                                                    Dasmariñas
                                                            ","
                                        ₱ 1,432,000 
                                    "
"
                                                4BR Penthouse Rent to Own For Sale by SMDC in Wind Residences Taal Lakeview
                    ","
                                
                                                                    Tagaytay
                                                            ","
                                        ₱ 23,588,000 
                                    "
"
                                                Townhouse For Sale in Antipolo City
                    ","
                                
                                                                    Antipolo
                                                            ","
                                        ₱ 3,800,000 
                                    "
"
                                                BIG LILOAN CEBU ELEGANT SINGLE DETACHED HOUSES
                    ","
                                
                                                                    Liloan
                                                            ","
                                        ₱ 7,800,000 
                                    "
"
                                                SAN ROQUE TALISAY CEBU LARGE MODERN HOUSES
                    ","
                                
                                                                    Talisay
                                                            ","
                                        ₱ 4,856,320 
                                    "
"
                                                2-Storey Townhouse in a Subdivision
                    ","
                                
                                                                    Lapu-Lapu
                                                            ","
                                        ₱ 900,000 
                                    "
"
                                                Lancaster New City Cavite Alice Townhouse Model near Mall of Asia
                    ","
                                
                                                                    Imus
                                                            ","
                                        ₱ 1,209,600 
                                    "
"
                                                Modern Townhouse For Sale in Tandang Sora Quezon City
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 5,750,000 
                                    "
"
                                                2 bedrooms house and lot in Imus Cavite Near Alabang and Makati Camella Bucanda
                    ","
                                
                                                                    Imus
                                                            ","
                                        ₱ 2,013,000 
                                    "
"
                                                3 Bedrooms  House and Lot for Sale in Tanza
                    ","
                                
                                                                    Tanza
                                                            ","
                                        ₱ 2,312,773 
                                    "
"
                                                Modern Style Luxury House and Lot For Sale in Anvaya Cove
                    ","
                                
                                                                    Morong
                                                            ","
                                        ₱ 36,000,000 
                                    "
"
                                                LA ALDEA DEL MAR Townhouse for Sale , 2 Storey
                    ","
                                
                                                                    Lapu-Lapu
                                                            ","
                                        ₱ 1,503,567 
                                    "
"
                                                SINGLE ATTACHED LAUREL UNIT near perpetual collage
                    ","
                                
                                                                    Las Piñas
                                                            ","
                                        ₱ 6,199,000 
                                    "
"
                                                A Modern-Asian Inspired Homes 4 Bedrooms 2 Toilet & Bath
                    ","
                                
                                                                    Imus
                                                            ","
                                        ₱ 2,207,000 
                                    "
"
                                                Congressional Townhouse for Sale at 8M
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 800,000 
                                    "
"
                                                House and Lot in Tandang Sora For Sale at 9.5M
                    ","
                                
                                                                    Quezon City
                                                            ","
                                        ₱ 9,000,000 
                                    "
"
                                                3 Bedroom 2 Car Garage Preselling Townhouse in San Juan City
                    ","
                                
                                                                    San Juan
                                                            ","
                                        ₱ 12,650,000 
                                    "
"
                                                FULLY-RENOVATED 2 STOREY DESIGN HOUSE FOR SALE
                    ","
                                
                                                                    Parañaque
                                                            ","
                                        ₱ 15,900,000 
                                    "
"
                                                Townhouse in Mandaluyong 3Level Front Inner Unit nr F Ortigas I Lopez
                    ","
                                
                                                                    Mandaluyong
                                                            ","
                                        ₱ 11,810,000 
                                    "
"
                                                4 BR 2TB affordable house and lot nr Leighton
                    ","
                                
                                                                    Imus
                                                            ","
                                        ₱ 1,863,000 
                                    "
