Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,HoursWorkedPerWeek,EmploymentSector,SalaryUSD
United States,Microsoft SQL Server,8,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,87000
United States,Oracle,5,Full time employee of a consulting/contracting company,DBA,40,Private business,120000
United States,Microsoft SQL Server,5,Full time employee,DBA,40,Private business,50000
United States,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,DBA,45,State/province government,111000
United States,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,125000
United States,Microsoft SQL Server,3,Full time employee,Developer: T-SQL,50,Private business,60000
United States,Microsoft SQL Server,15,Full time employee,Architect,55,Private business,200000
United States,Microsoft SQL Server,4,Full time employee,Manager,42,Private business,73000
United States,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,40,Private business,56000
Belgium,Microsoft SQL Server,2,Full time employee,Analyst,42,Private business,100000
United States,Microsoft SQL Server,1,Full time employee,Engineer,40,Private business,38000
United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,135000
United States,Microsoft SQL Server,17,Full time employee,DBA,55,Private business,140000
Canada,Microsoft SQL Server,6,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,58000
United States,Microsoft SQL Server,17,Full time employee,"Developer: App code (C#, JS, etc)",50,Private business,98000
United States,Microsoft SQL Server,10,Full time employee,DBA,45,Local government,88000
United States,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,82000
United States,Other,1,Full time employee,Architect,40,Private business,180000
United States,Microsoft SQL Server,5,Full time employee,DBA,42,Local government,78000
United States,Other,4,Full time employee,DBA,40,Private business,62000
United States,Microsoft SQL Server,18,Full time employee,DBA,50,Private business,124000
United States,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,96000
United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,125000
United Kingdom,Microsoft SQL Server,10,Independent or freelancer or company owner,Architect,60,Private business,48000
United States,Microsoft SQL Server,4,Full time employee,"Developer: App code (C#, JS, etc)",40,State/province government,59009
Sweden,Microsoft SQL Server,18,Full time employee,DBA,42,Private business,65000
United States,Microsoft SQL Server,8,Full time employee,Developer: T-SQL,45,Private business,85000
United States,Microsoft SQL Server,3,Full time employee,Analyst,35,Private business,64000
United States,Microsoft SQL Server,13,Full time employee of a consulting/contracting company,Architect,40,Private business,134000
United States,Microsoft SQL Server,3,Full time employee,Developer: T-SQL,40,Private business,61000
United States,Microsoft SQL Server,13,Full time employee,DBA,45,Private business,125000
United States,Microsoft SQL Server,6,Full time employee of a consulting/contracting company,DBA,45,Private business,102000
United States,Microsoft SQL Server,14,Full time employee,DBA,40,State/province government,87000
United States,Oracle,0,Full time employee,Analyst,40,Private business,67080
United States,Microsoft SQL Server,8,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,84000
United States,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,75000
Romania,Microsoft SQL Server,1,Full time employee,DBA,40,Private business,15000
United States,Microsoft SQL Server,5,Full time employee,Engineer,40,Private business,64000
United States,Microsoft SQL Server,20,Full time employee,Manager,55,Private business,135000
United Kingdom,Microsoft SQL Server,7,Full time employee,Analyst,38,State/province government,28500
United States,Oracle,10,Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",40,Private business,93000
United States,Microsoft SQL Server,20,Full time employee,DBA,42,Private business,104300
United States,Microsoft SQL Server,8,Full time employee,Manager,45,Private business,130000
United States,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,40,Private business,75000
United States,Microsoft SQL Server,20,Full time employee,Developer: T-SQL,45,Private business,127000
United States,Microsoft SQL Server,8,Full time employee of a consulting/contracting company,Manager,45,Private business,165000
United States,Microsoft SQL Server,5,Full time employee,Engineer,50,Private business,100000
United Kingdom,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,38,Private business,55000
Canada,Microsoft SQL Server,7,Full time employee,Developer: T-SQL,35,Private business,80000
United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,53000
United States,Microsoft SQL Server,17,Full time employee,Manager,45,Private business,126500
United States,Microsoft SQL Server,20,Full time employee,Developer: T-SQL,40,Private business,123000
Australia,Microsoft SQL Server,5,Full time employee,DBA,40,State/province government,72000
United States,Microsoft SQL Server,15,Full time employee of a consulting/contracting company,DBA,40,Private business,101000
United Kingdom,Microsoft SQL Server,18,Full time employee,Architect,35,Private business,100000
United States,Microsoft SQL Server,9,Full time employee,DBA,38,Private business,109000
United States,Microsoft SQL Server,15,Full time employee,DBA,50,Private business,78000
United States,Microsoft SQL Server,3,Full time employee,Developer: T-SQL,45,Private business,65000
Denmark,Microsoft SQL Server,11,Independent or freelancer or company owner,DBA,40,Private business,180000
United States,Microsoft SQL Server,18,Full time employee,DBA,50,Private business,125000
United States,Microsoft SQL Server,17,Full time employee,Developer: T-SQL,40,Private business,108000
United States,Microsoft SQL Server,4,Full time employee,DBA,52,Private business,92000
United States,Microsoft SQL Server,2,Full time employee,Analyst,40,State/province government,59700
United States,Microsoft SQL Server,9,Full time employee,Developer: T-SQL,40,Private business,92000
United States,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,111000
United States,Microsoft SQL Server,2,Full time employee,DBA,42,Private business,57000
United States,Microsoft SQL Server,20,Full time employee,DBA,42,Private business,108000
United States,Microsoft SQL Server,17,Independent or freelancer or company owner,Consultant,65,Private business,160000
United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,90000
Brazil,Microsoft SQL Server,6,Full time employee,DBA,44,Private business,24000
Poland,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,18000
United States,Microsoft SQL Server,8,Full time employee,DBA,45,Private business,72500
United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,125000
United States,Microsoft SQL Server,3,Full time employee,Developer: T-SQL,40,Private business,63000
United States,Microsoft SQL Server,3,Full time employee,DBA,45,Private business,67000
United States,Microsoft SQL Server,23,Full time employee,DBA,50,Private business,125000
United States,Microsoft SQL Server,8,Full time employee,DBA,45,Private business,185000
United States,Microsoft SQL Server,10,Full time employee,Systems Administrator,45,Local government,85000
United States,Microsoft SQL Server,3,Full time employee,DBA,45,Private business,70000
United Kingdom,Microsoft SQL Server,2,Full time employee,Analyst,40,Private business,29000
United States,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,77000
Russia,Oracle,5,Full time employee,Architect,40,Private business,30500
United States,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,State/province government,130000
United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,81000
United States,Oracle,7,Full time employee,DBA,50,Private business,87400
United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,108000
Argentina,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,25000
Australia,Microsoft SQL Server,7,Full time employee,Sales,40,Private business,300000
United States,Microsoft SQL Server,1,Full time employee,DBA,50,State/province government,61900
United States,Microsoft SQL Server,2,Full time employee,DBA,50,Private business,65000
United States,Microsoft SQL Server,9,Full time employee,DBA,40,Private business,210000
Canada,PostgreSQL,16,Full time employee,Engineer,40,Private business,143000
United States,Microsoft SQL Server,12,Full time employee,Architect,50,Private business,115000
United States,Microsoft SQL Server,19,Full time employee,Developer: T-SQL,38,Private business,142000
United States,Microsoft SQL Server,18,Full time employee,Manager,50,Private business,220000
India,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,11000
United States,Microsoft SQL Server,15,Full time employee of a consulting/contracting company,Manager,50,Private business,175000
United States,Microsoft SQL Server,17,Full time employee,Architect,60,Private business,180000
United States,Microsoft SQL Server,6,Full time employee of a consulting/contracting company,DBA,42,Federal government,85900
United States,Microsoft SQL Server,10,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,123000
United States,Microsoft SQL Server,15,Full time employee,Data Scientist,50,Private business,102000
United States,Microsoft SQL Server,17,Full time employee,Engineer,40,Private business,160000
United States,Microsoft SQL Server,13,Full time employee,Engineer,50,Private business,127000
United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,118000
United Kingdom,Microsoft SQL Server,13,Full time employee,DBA,50,Local government,55300
United States,Microsoft SQL Server,21,Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",40,Private business,101000
New Zealand,Microsoft SQL Server,10,Full time employee,DBA / BI Developer,40,Local government,55700
United States,PostgreSQL,2,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,60000
Canada,MongoDB,1,Full time employee,Engineer,35,Private business,112000
United States,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,83000
Canada,Microsoft SQL Server,6,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,60000
United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,126800
United States,Microsoft SQL Server,8,Full time employee,DBA,42,Private business,104000
Canada,Microsoft SQL Server,10,Full time employee,Architect,40,Private business,137000
United States,Microsoft SQL Server,3,Full time employee,Developer: T-SQL,50,State/province government,60000
United States,Microsoft SQL Server,8,Full time employee,Manager,50,Private business,115000
United States,Microsoft SQL Server,2,Full time employee of a consulting/contracting company,DBA,22,Local government,25000
United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,105000
Denmark,Microsoft SQL Server,9,Full time employee,DBA,37,Private business,102000
United States,Microsoft SQL Server,10,Full time employee,Manager,48,Private business,112500
United States,Microsoft SQL Server,14,Full time employee,DBA,35,Private business,92000
United States,Microsoft SQL Server,10,Full time employee,Architect,40,Private business,120000
United Kingdom,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,40,Private business,40500
Lithuania,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,40,Private business,30500
United States,Microsoft SQL Server,3,Full time employee,Architect,40,State/province government,62000
India,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,13455
Poland,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,18200
Portugal,Microsoft SQL Server,18,Full time employee,DBA,40,Private business,20000
Guernsey,Microsoft SQL Server,9,Full time employee,DBA,40,Private business,61475
United Kingdom,Microsoft SQL Server,3,Full time employee,Analyst,40,Private business,37000
Hong Kong,Microsoft SQL Server,8,Full time employee,DBA,45,Private business,85000
Spain,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,Architect,50,Private business,43000
United Kingdom,Microsoft SQL Server,7,Full time employee,DBA,37,Private business,71300
India,Microsoft SQL Server,12,Full time employee,DBA,60,Private business,48000
Israel,Microsoft SQL Server,2,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",43,Private business,38000
United States,Microsoft SQL Server,2,Full time employee,Analyst,40,Private business,68000
United States,Other,20,Full time employee,DBA,40,Private business,135000
United States,Microsoft SQL Server,20,Full time employee,Architect,60,Private business,130000
United States,Microsoft SQL Server,11,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",35,Private business,93000
United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,38,Private business,69000
United Kingdom,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,130000
United States,Microsoft SQL Server,12,Full time employee,Manager,50,Private business,107000
United States,Microsoft SQL Server,2,Full time employee,Developer: T-SQL,40,Private business,52000
United States,Microsoft SQL Server,15,Full time employee,Manager,40,Private business,105000
United States,Microsoft SQL Server,4,Full time employee,DBA,50,Private business,100000
Russia,Microsoft SQL Server,11,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",50,Private business,39566
United States,Microsoft SQL Server,2,Full time employee,Analyst,40,Private business,63000
United States,Microsoft SQL Server,14,Full time employee,Engineer,42,Private business,115000
Germany,Microsoft SQL Server,15,Full time employee,Engineer,45,Private business,90000
Germany,Microsoft SQL Server,22,Independent or freelancer or company owner,Architect,41,Federal government,140000
United States,Oracle,9,Full time employee of a consulting/contracting company,DBA,40,Federal government,109000
United Kingdom,Microsoft SQL Server,11,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,State/province government,74000
United States,Microsoft SQL Server,4,Full time employee,DBA,55,Private business,106000
United States,Microsoft SQL Server,18,Independent or freelancer or company owner,Architect,55,Federal government,196000
United States,Microsoft SQL Server,20,Full time employee,Sr Consultant ,40,Private business,122000
United States,Microsoft SQL Server,3,Full time employee,Systems Administrator,42,State/province government,86000
United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,170000
United States,Microsoft SQL Server,8,Full time employee,Architect,40,Private business,95000
United States,Microsoft SQL Server,4,Full time employee,Architect,45,Private business,105000
United States,Microsoft SQL Server,5,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",50,Private business,98000
United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,38,Private business,135000
United States,Microsoft SQL Server,2,Full time employee,Analytics consultant,45,Private business,61000
Canada,Microsoft SQL Server,9,Full time employee,DBA,35,Private business,73000
United States,Microsoft SQL Server,8,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,89000
United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,116000
United States,Microsoft SQL Server,17,Full time employee,Developer: T-SQL,35,Private business,180000
Finland,Microsoft SQL Server,20,Full time employee,DBA,30,Private business,40000
United States,Microsoft SQL Server,18,Full time employee of a consulting/contracting company,DBA,40,Private business,163000
United States,Microsoft SQL Server,18,Full time employee,DBA,50,Private business,85000
United States,Other,3,Full time employee,DBA,45,Private business,103000
United States,Microsoft SQL Server,6,Full time employee,DBA,50,Private business,83000
Australia,Microsoft SQL Server,20,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",45,Private business,76500
United States,Microsoft SQL Server,14,Full time employee,Architect,45,Private business,130000
United States,Microsoft SQL Server,13,Independent or freelancer or company owner,Architect,40,Private business,165000
United States,Microsoft SQL Server,4,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",45,Private business,108000
United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,105000
United States,Microsoft SQL Server,3,Full time employee,Manager,45,Student,50000
United States,Microsoft SQL Server,10,Full time employee,Architect,40,Private business,130000
India,Microsoft SQL Server,4,Full time employee,DBA,43,Private business,13000
United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,110000
Israel,Microsoft SQL Server,15,Full time employee,DBA,50,Private business,78000
Israel,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",45,Federal government,53000
United Kingdom,Microsoft SQL Server,3,Full time employee,DBA,36,Private business,41771
Bulgaria,Microsoft SQL Server,13,Full time employee,DBA,40,Private business,30000
United States,Microsoft SQL Server,18,Full time employee,Architect,40,Private business,174000
Ireland,Microsoft SQL Server,15,Independent or freelancer or company owner,Architect,40,Private business,130000
Denmark,Microsoft SQL Server,12,Independent or freelancer or company owner,Architect,45,Private business,77000
United States,Microsoft SQL Server,20,Full time employee,DBA,60,Private business,100000
United Kingdom,Microsoft SQL Server,16,Independent or freelancer or company owner,DBA,40,Private business,150000
United States,Microsoft SQL Server,16,Full time employee,Manager,45,Private business,133000
France,Microsoft SQL Server,10,Full time employee,DBA,35,Private business,42000
United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,115000
United Kingdom,Microsoft SQL Server,12,Full time employee,Developer: T-SQL,40,Private business,86000
Romania,Microsoft SQL Server,5,Full time employee,DBA,50,Private business,24000
United States,Microsoft SQL Server,10,Full time employee,Architect,50,Private business,115000
United Kingdom,Microsoft SQL Server,5,Full time employee,DBA,38,Private business,43000
United States,PostgreSQL,3,Full time employee,Manager,48,Private business,80000
United States,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,65000
United States,Microsoft SQL Server,16,Full time employee,Engineer,40,Private business,106000
United Kingdom,PostgreSQL,1,Full time employee,DBA,35,Private business,49000
United States,Microsoft SQL Server,25,Independent or freelancer or company owner,DBA,35,Private business,160000
United States,Microsoft SQL Server,20,Full time employee,"Developer: App code (C#, JS, etc)",60,Private business,95138
United States,Microsoft SQL Server,13,Full time employee,DBA,40,Private business,120000
United States,Microsoft SQL Server,13,Full time employee,Manager,55,Private business,100000
United States,Microsoft SQL Server,15,Full time employee,DBA,46,Private business,73000
United States,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,40,Federal government,96000
United States,Microsoft SQL Server,21,Independent or freelancer or company owner,Developer: T-SQL,30,Private business,175000
Germany,Microsoft SQL Server,14,Full time employee,Architect,40,Private business,82000
Australia,Microsoft SQL Server,10,Full time employee,Manager,38,Private business,112000
Poland,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,42000
Israel,Microsoft SQL Server,4,Full time employee,DBA,45,Private business,100000
Australia,Microsoft SQL Server,8,Full time employee,"Developer: App code (C#, JS, etc)",42,Private business,73000
Switzerland,Microsoft SQL Server,8,Full time employee,DBA,43,Private business,115000
United Kingdom,Microsoft SQL Server,8,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",37,Private business,55000
New Zealand,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,65500
Romania,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,32000
United States,Microsoft SQL Server,15,Full time employee,Developer: T-SQL,40,Private business,95000
China,Microsoft SQL Server,9,Full time employee,DBA,45,Private business,26000
United States,PostgreSQL,5,Independent or freelancer or company owner,Architect,80,Private business,62000
United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,115000
United States,Microsoft SQL Server,10,Full time employee,Engineer,50,Private business,76000
United Kingdom,Microsoft SQL Server,1,Full time employee,Developer: T-SQL,40,Private business,27049
United Kingdom,Microsoft SQL Server,2,Independent or freelancer or company owner,"Developer: App code (C#, JS, etc)",50,Private business,43000
United States,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,50,Private business,75000
United States,Microsoft SQL Server,9,Full time employee,DBA,40,Private business,90000
India,Microsoft SQL Server,3,Full time employee,Analyst,40,Private business,8500
Luxembourg,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,DBA,50,Private business,80000
United States,Microsoft SQL Server,4,Full time employee,Engineer,40,Private business,37400
United Kingdom,Microsoft SQL Server,6,Full time employee,Developer: T-SQL,38,Private business,70000
Sweden,Microsoft SQL Server,1,Full time employee,DBA,41,Private business,43000
Australia,Microsoft SQL Server,4,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,67000
United States,SAP,5,Full time employee,Architect,50,Federal government,105000
New Zealand,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,71000
New Zealand,Microsoft SQL Server,10,Full time employee of a consulting/contracting company,DBA,45,Private business,67000
United States,Microsoft SQL Server,38,Full time employee,DBA,40,Private business,51000
United States,Microsoft SQL Server,3,Full time employee,DBA,60,Private business,73000
Australia,Microsoft SQL Server,17,Full time employee,"Developer: App code (C#, JS, etc)",50,Private business,100000
Australia,Microsoft SQL Server,5,Full time employee,Engineer,35,Local government,65000
Australia,Microsoft SQL Server,1,Full time employee,DBA,24,Private business,48000
Australia,Oracle,20,Full time employee,DBA,40,Private business,120000
Australia,Microsoft SQL Server,3,Full time employee,Analyst,38,Private business,51000
New Zealand,Microsoft SQL Server,7,Full time employee,DBA,45,Private business,63000
United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,11500
Australia,Microsoft SQL Server,10,Full time employee,Manager,40,Private business,73000
Australia,Microsoft SQL Server,15,Full time employee,DBA,35,State/province government,85000
Australia,Microsoft SQL Server,10,Full time employee,Developer: T-SQL,45,Private business,82500
Australia,Microsoft SQL Server,18,Full time employee,Analyst,40,Private business,68000
Australia,Microsoft SQL Server,6,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",35,Federal government,57740
Australia,Microsoft SQL Server,21,Full time employee of a consulting/contracting company,Architect,50,Private business,117000
New Zealand,Microsoft SQL Server,18,Full time employee,DBA,30,Federal government,165227
Australia,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,73000
New Zealand,Microsoft SQL Server,8,Full time employee,DBA,50,Private business,75000
Venezuela,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,Other,40,Private business,5000
Australia,Microsoft SQL Server,14,Independent or freelancer or company owner,DBA,40,Private business,130000
Australia,Microsoft SQL Server,20,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",48,Private business,95000
Philippines,Microsoft SQL Server,6,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,20000
Australia,Microsoft SQL Server,3,Full time employee of a consulting/contracting company,DBA,38,Private business,62250
Australia,Microsoft SQL Server,15,Full time employee,"Developer: App code (C#, JS, etc)",50,Private business,61000
United States,Microsoft SQL Server,12,Full time employee,DBA,50,Private business,104000
Australia,Microsoft SQL Server,10,Full time employee,Manager,40,Private business,85600
Malaysia,Microsoft SQL Server,3,Full time employee,"Developer: App code (C#, JS, etc)",45,Private business,7473
Israel,Microsoft SQL Server,2,Full time employee,DBA,40,Private business,45000
United Kingdom,Microsoft SQL Server,10,Full time employee,Manager,40,Private business,72000
Finland,Microsoft SQL Server,15,Full time employee,Architect,50,Private business,80000
Australia,Microsoft SQL Server,5,Full time employee,Developer: T-SQL,36,State/province government,74500
India,Microsoft SQL Server,3,Full time employee,Developer: T-SQL,8,Private business,430
Finland,Microsoft SQL Server,20,Independent or freelancer or company owner,"Developer: App code (C#, JS, etc)",42,Private business,105000
South Africa,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,50000
Denmark,Microsoft SQL Server,4,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,70800
Sweden,Microsoft SQL Server,7,Full time employee,Architect,45,Private business,62000
Turkey,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,30000
South Africa,Microsoft SQL Server,15,Full time employee,DBA,45,Private business,40000
South Africa,Microsoft SQL Server,15,Full time employee,Architect,48,Private business,68000
Bulgaria,Microsoft SQL Server,4,Full time employee,Developer: T-SQL,40,Private business,15500
Greece,Microsoft SQL Server,8,Full time employee,Developer: T-SQL,40,Private business,24000
Sweden,Microsoft SQL Server,14,Full time employee of a consulting/contracting company,Developer: T-SQL,40,Private business,50000
Sweden,Microsoft SQL Server,6,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,State/province government,61000
Austria,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,64000
Slovenia,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,60000
Denmark,Microsoft SQL Server,17,Full time employee,DBA,40,Private business,108000
United Kingdom,Microsoft SQL Server,17,Full time employee,Other,40,Private business,66999
Germany,Microsoft SQL Server,10,Full time employee,Developer: T-SQL,40,Private business,75000
Sweden,Microsoft SQL Server,17,Full time employee,Manager,40,Local government,56000
Finland,Microsoft SQL Server,5,Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",37,Private business,35000
Romania,Microsoft SQL Server,3,Full time employee,Developer: T-SQL,40,Private business,25000
Sweden,Microsoft SQL Server,17,Full time employee,Developer: T-SQL,40,Private business,77000
Israel,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,82000
Turkey,Microsoft SQL Server,7,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,28000
Italy,Microsoft SQL Server,10,Full time employee,Manager,45,Private business,42150
Switzerland,Microsoft SQL Server,10,Full time employee,DBA,42,Private business,136000
Macedonia,Microsoft SQL Server,10,Independent or freelancer or company owner,DBA,50,Private business,54000
Australia,Microsoft SQL Server,8,Full time employee,"Developer: App code (C#, JS, etc)",40,Local government,51000
Luxembourg,Microsoft SQL Server,7,Full time employee of a consulting/contracting company,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,68000
France,Microsoft SQL Server,7,Full time employee,DBA,45,Private business,65000
Spain,Microsoft SQL Server,3,Full time employee of a consulting/contracting company,Analyst,40,Private business,30000
Poland,Microsoft SQL Server,6,Full time employee,"Developer: App code (C#, JS, etc)",46,Private business,14500
Italy,Microsoft SQL Server,17,Independent or freelancer or company owner,DBA,50,Private business,92000
United Kingdom,Microsoft SQL Server,15,Independent or freelancer or company owner,DBA,40,Private business,122000
Switzerland,Microsoft SQL Server,18,Full time employee,Developer: T-SQL,42,Private business,120000
Spain,Microsoft SQL Server,6,Full time employee of a consulting/contracting company,DBA,40,Private business,32000
Austria,Microsoft SQL Server,8,Full time employee,Developer: T-SQL,39,Private business,65723
Italy,Microsoft SQL Server,12,Independent or freelancer or company owner,Engineer,45,Private business,50000
United Kingdom,Microsoft SQL Server,7,Full time employee,Developer: T-SQL,38,Private business,37500
United Kingdom,Microsoft SQL Server,6,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,57000
United Kingdom,Microsoft SQL Server,8,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,62109
Hungary,Microsoft SQL Server,2,Full time employee,"Developer: App code (C#, JS, etc)",43,Private business,19000
Iceland,Microsoft SQL Server,18,Full time employee,Architect,55,Private business,111000
United Kingdom,Microsoft SQL Server,8,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,52382
United Kingdom,Microsoft SQL Server,12,Full time employee,Architect,38,Private business,76450
United Kingdom,Microsoft SQL Server,7,Independent or freelancer or company owner,DBA,60,Federal government,100000
United Kingdom,Microsoft SQL Server,14,Full time employee,DBA,45,Private business,55000
United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,38,Private business,59000
Germany,Microsoft SQL Server,12,Full time employee,DBA,40,Local government,65000
United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,107000
United Kingdom,Microsoft SQL Server,3,Full time employee,"Developer: App code (C#, JS, etc)",37,Private business,34000
United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,37,Private business,75500
United Kingdom,Microsoft SQL Server,13,Independent or freelancer or company owner,DBA,37,Private business,90000
Germany,Microsoft SQL Server,2,Full time employee,DBA,38,Private business,70000
United Kingdom,Microsoft SQL Server,8,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",40,Private business,58000
United Kingdom,Microsoft SQL Server,6,Full time employee,DBA,37,Private business,58430
Netherlands,Microsoft SQL Server,3,Full time employee,DBA,40,Private business,32000
United Kingdom,Microsoft SQL Server,10,Full time employee,Architect,50,Private business,84000
United Kingdom,Microsoft SQL Server,18,Full time employee,DBA,45,Private business,79300
Ireland,Microsoft SQL Server,10,Full time employee,Developer: T-SQL,40,Private business,85000
United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,42,Private business,59000
United Kingdom,Microsoft SQL Server,8,Full time employee,DBA,50,Private business,61000
Germany,Microsoft SQL Server,8,Full time employee,Other,40,Private business,54000
United Kingdom,Microsoft SQL Server,15,Full time employee of a consulting/contracting company,Other,45,Private business,68000
United Kingdom,Microsoft SQL Server,15,Full time employee,Developer: T-SQL,38,Private business,45000
United Kingdom,Microsoft SQL Server,10,Full time employee,"Developer: App code (C#, JS, etc)",40,Private business,43468
United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,73000
United Kingdom,Microsoft SQL Server,17,Full time employee,DBA,40,Private business,85232
Germany,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,63000
United Kingdom,Microsoft SQL Server,12,Independent or freelancer or company owner,DBA,60,Private business,133000
United Kingdom,Microsoft SQL Server,8,Full time employee of a consulting/contracting company,DBA,40,Private business,55000
Sweden,Microsoft SQL Server,15,Independent or freelancer or company owner,DBA,40,Private business,85000
United Kingdom,Microsoft SQL Server,20,Full time employee,Manager,65,Private business,133615
Spain,Microsoft SQL Server,8,Full time employee,Engineer,40,Private business,40000
