,Address,Bedrooms,Bathrooms,Sqm,Cost
1887,"Las Piñas, Metro Manila",4,4,349,83600000.0
1888,"Manila, Metro Manila",5,5,551,72000000.0
1889,"Bacoor, Cavite",3,3,264,50100000.0
1890,"Antipolo, Rizal",4,2,119,10000000.0
1891,"Pasig, Metro Manila",4,3,200,13800000.0
1892,"Magalang, Pampanga",2,2,47,2190000.0
1893,"Fairview, Quezon City / QC, Metro Manila",4,3,137,8029999.999999999
1894,"Cainta, Rizal",3,3,200,12100000.0
1895,"General Trias, Cavite",3,2,60,5080000.0
1896,"Santa Rosa, Laguna",0,0,108,3670000.0
1897,"Quezon City / QC, Metro Manila",4,5,500,48800000.0
1898,"Silang, Cavite",3,3,240,9000000.0
1899,"General Trias, Cavite",0,0,29,834400.0
1900,"Marilao, Bulacan",4,3,175,11200000.0
1901,"Mandaluyong, Metro Manila",5,6,336,15000000.0
1902,"Mabalacat, Pampanga",2,1,50,2220000.0
1903,"Santa Rosa, Laguna",3,3,265,35600000.0
1904,"Pasig, Metro Manila",4,3,230,14500000.0
1905,"Santa Rosa, Laguna",3,3,211,29500000.0
1906,"Silang, Cavite",4,3,178,11800000.0
1907,"Padre Garcia, Batangas",3,2,75,4700000.0
1908,"Bacolod, Negros Occidental",5,3,166,9890000.0
1909,"Quezon City / QC, Metro Manila",4,4,179,10500000.0
1910,"Bacoor, Cavite",3,2,65,4700000.0
1911,"Cagayan de Oro, Misamis Oriental",2,1,72,1850000.0
1912,"Tanza, Cavite",3,2,120,5100000.0
1913,"Novaliches, Quezon City / QC, Metro Manila",3,3,96,5050000.0
1914,"Las Piñas, Metro Manila",4,4,349,83600000.0
1915,"Manila, Metro Manila",5,5,551,72000000.0
1916,"Bacoor, Cavite",3,3,264,50100000.0
1917,"San Fernando, Pampanga",3,4,320,10800000.0
1918,"Tagaytay, Cavite",3,3,116,5500000.0
1919,"Tarlac City, Tarlac",3,1,120,3000000.0
1920,"Tagaytay, Cavite",3,3,116,5500000.0
1921,"Padre Garcia, Batangas",3,2,75,4700000.0
1922,"Laurel, Batangas",7,6,435,20000000.0
1923,"Bacolod, Negros Occidental",5,3,166,9890000.0
1924,"Silang, Cavite",4,3,136,9480000.0
1925,"Santa Rosa, Laguna",3,2,109,13800000.0
1926,"Silang, Cavite",4,3,174,10500000.0
1927,"San Pedro, Laguna",3,2,76,5420000.0
1928,"Santa Maria, Bulacan",4,3,80,5970000.0
1929,"Parañaque, Metro Manila",3,2,263,19000000.0
1930,"Tanauan, Batangas",3,2,150,5900000.0
1931,"Las Piñas, Metro Manila",4,3,328,47000000.0
1932,"Las Piñas, Metro Manila",5,5,374,45000000.0
1933,"Lipa, Batangas",4,3,160,9640000.0
1934,"San Jose del Monte, Bulacan",0,1,34,3400000.0
1935,"San Fernando, Pampanga",4,3,120,6200000.0
1936,"Bacoor, Cavite",3,2,77,7000000.0
1937,"Mandaluyong, Metro Manila",4,5,359,41500000.0
1938,"Muntinlupa, Metro Manila",3,3,100,7650000.0
1939,"New Manila, Quezon City / QC, Metro Manila",5,6,800,110000000.0
1940,"Cubao, Quezon City / QC, Metro Manila",4,5,250,24000000.0
1941,"Manila, Metro Manila",4,4,378,52000000.0
1942,"Tarlac City, Tarlac",3,1,120,3000000.0
1943,"Lipa, Batangas",3,2,133,9280000.0
1944,"Quezon City / QC, Metro Manila",3,2,104,7000000.0
1945,"Marikina, Metro Manila",3,3,91,6050000.0
1946,"Antipolo, Rizal",5,5,656,7430000.0
1947,"Cubao, Quezon City / QC, Metro Manila",4,3,118,5710000.0
1948,"Marikina, Metro Manila",3,4,360,30000000.0
1949,"Marikina, Metro Manila",4,5,327,11800000.0
1950,"Cainta, Rizal",5,4,579,5120000.0
1951,"Tanauan, Batangas",3,1,46,1050000.0
1952,"Baras, Rizal",3,1,42,2020000.0
1953,"Santo Tomas, Batangas",3,2,166,10600000.0
1954,"Baras, Rizal",3,1,42,2020000.0
1955,"Talisay, Cebu",8,7,525,30000000.0
1956,"Quezon City / QC, Metro Manila",3,3,120,8500000.0
1957,"Ormoc, Leyte",3,2,196,4050000.0
1958,"Marikina, Metro Manila",3,2,100,6600000.0
1959,"Taytay, Rizal",2,2,106,4900000.0
1960,"Cainta, Rizal",4,3,135,9700000.0
1961,"Angeles, Pampanga",2,1,104,3020000.0
1962,"Antipolo, Rizal",3,2,53,5000000.0
1963,"Antipolo, Rizal",3,3,212,16500000.0
1964,"Quezon City / QC, Metro Manila",5,5,500,50800000.0
1965,"Antipolo, Rizal",3,3,238,30000000.0
1966,"San Juan, Metro Manila",4,5,390,51800000.0
1967,"Angeles, Pampanga",3,1,50,3810000.0
1968,"Ormoc, Leyte",0,1,22,1000000.0
1969,"Calamba, Laguna",3,2,84,5080000.0
1970,"Lipa, Batangas",5,3,132,4450000.0
1971,"Marilao, Bulacan",3,2,99,5400000.0
1972,"Antipolo, Rizal",3,3,93,9300000.0
1973,"San Juan, Metro Manila",4,5,390,46000000.0
1974,"Biñan, Laguna",3,2,80,6300000.0
1975,"Ormoc, Leyte",2,1,36,2060000.0
1976,"Quezon City / QC, Metro Manila",4,4,179,10500000.0
1977,"Bacoor, Cavite",3,2,65,4700000.0
1978,"Cagayan de Oro, Misamis Oriental",2,1,72,1850000.0
1979,"Tanza, Cavite",3,2,120,5100000.0
1980,"Novaliches, Quezon City / QC, Metro Manila",3,3,96,5050000.0
1981,"Las Piñas, Metro Manila",4,4,349,83600000.0
1982,"Manila, Metro Manila",5,5,551,72000000.0
1983,"Bacoor, Cavite",3,3,264,50100000.0
1984,"Bacolod, Negros Occidental",3,2,66,5810000.0
1985,"San Fernando, Pampanga",3,4,320,10800000.0
1986,"Parañaque, Metro Manila",5,4,320,26000000.0
1987,"Las Piñas, Metro Manila",5,6,380,15000000.0
1988,"Padre Garcia, Batangas",3,2,80,5090000.0
1989,"San Vicente, Camarines Norte",3,1,42,1440000.0
1990,"Tandang Sora, Quezon City / QC, Metro Manila",3,4,256,19800000.0
1991,"Laurel, Batangas",7,6,435,20000000.0
1992,"Lipa, Batangas",3,1,58,2330000.0
1993,"Cebu City, Cebu",3,3,220,28000000.0
1994,"Iloilo City, Iloilo",3,1,42,2000000.0
1995,"Tanza, Cavite",4,3,90,3300000.0
1996,"Santa Rosa, Laguna",3,3,95,17600000.0
1997,"Caloocan, Metro Manila",4,3,165,9430000.0
1998,"San Jose del Monte, Bulacan",3,2,66,6260000.0
1999,"Padre Garcia, Batangas",3,2,75,3930000.0
2000,"Quezon City / QC, Metro Manila",3,3,120,8500000.0
2001,"Ormoc, Leyte",3,2,196,4050000.0
2002,"Marikina, Metro Manila",3,2,100,6600000.0
2003,"Cainta, Rizal",4,3,135,9700000.0
2004,"Taytay, Rizal",2,2,106,4900000.0
2005,"Marilao, Bulacan",5,3,159,9600000.0
2006,"Meycauayan, Bulacan",4,3,154,10800000.0
2007,"Marilao, Bulacan",4,2,105,5990000.0
2008,"Magalang, Pampanga",3,2,54,3080000.0
2009,"Pandi, Bulacan",3,1,42,2120000.0
2010,"Pandi, Bulacan",3,1,42,2029999.9999999998
2011,"Lipa, Batangas",2,2,69,2830000.0
2012,"Bacolod, Negros Occidental",3,3,240,4500000.0
2013,"Trece Martires, Cavite",3,2,94,5510000.0
2014,"Tanza, Cavite",2,1,27,750000.0
2015,"Cagayan de Oro, Misamis Oriental",3,2,60,3890000.0
2016,"Manila, Metro Manila",4,4,378,52000000.0
2017,"Lipa, Batangas",3,2,133,9280000.0
2018,"San Fernando, Pampanga",2,1,44,1260000.0
2019,"San Fernando, Pampanga",2,2,75,2500000.0
2020,"Tarlac City, Tarlac",2,1,35,1710000.0
2021,"Quezon City / QC, Metro Manila",3,2,56,7430000.0
2022,"Trece Martires, Cavite",2,1,45,2700000.0
2023,"Las Piñas, Metro Manila",4,8,300,31000000.0
2024,"Las Piñas, Metro Manila",4,3,241,15300000.0
2025,"Bacoor, Cavite",5,3,255,13500000.0
2026,"Bacolod, Negros Occidental",3,1,42,2210000.0
2027,"Cagayan de Oro, Misamis Oriental",2,1,44,1750000.0
2028,"Cagayan de Oro, Misamis Oriental",2,1,36,1850000.0
2029,"Antipolo, Rizal",3,2,220,15000000.0
2030,"Antipolo, Rizal",3,3,167,17000000.0
2031,"Taytay, Rizal",4,4,200,17000000.0
2032,"Quezon City / QC, Metro Manila",4,4,210,12500000.0
2033,"Antipolo, Rizal",4,4,250,9000000.0
2034,"Urdaneta, Pangasinan",5,3,126,8500000.0
2035,"Padre Garcia, Batangas",3,2,80,5090000.0
2036,"Angeles, Pampanga",4,3,113,6850000.0
2037,"General Trias, Cavite",3,2,72,3800000.0
2038,"Lapu-Lapu (Opon), Cebu",3,2,78,5000000.0
2039,"Davao City, Davao del Sur",5,4,240,14000000.0
2040,"Antipolo, Rizal",3,2,220,15000000.0
2041,"Antipolo, Rizal",3,3,167,17000000.0
2042,"Taytay, Rizal",4,4,200,17000000.0
2043,"Quezon City / QC, Metro Manila",4,4,210,12500000.0
2044,"Baras, Rizal",2,2,62,825000.0
2045,"Marilao, Bulacan",5,3,159,9600000.0
2046,"Meycauayan, Bulacan",4,3,154,10800000.0
2047,"Marilao, Bulacan",4,2,105,5990000.0
2048,"Angeles, Pampanga",3,1,50,3810000.0
2049,"Magalang, Pampanga",3,2,54,3080000.0
2050,"Lipa, Batangas",2,2,69,2830000.0
2051,"Bacolod, Negros Occidental",3,3,240,4500000.0
2052,"Pandi, Bulacan",3,1,42,2120000.0
2053,"Pandi, Bulacan",3,1,42,2029999.9999999998
2054,"Lapu-Lapu (Opon), Cebu",3,2,78,5000000.0
2055,"Trece Martires, Cavite",3,2,94,5510000.0
2056,"Tanza, Cavite",2,1,27,750000.0
2057,"Cagayan de Oro, Misamis Oriental",3,2,60,3890000.0
2058,"Cagayan de Oro, Misamis Oriental",2,1,42,1550000.0
2059,"Talisay, Cebu",8,7,525,30000000.0
2060,"Clark, Angeles, Pampanga",3,2,88,1870000.0
2061,"Roxas City, Capiz",2,1,46,3490000.0
2062,"Santa Maria, Bulacan",5,3,100,7650000.0
2063,"Imus, Cavite",3,1,40,1950000.0
2064,"San Jose del Monte, Bulacan",2,1,34,929068.0
2065,"Biñan, Laguna",3,2,90,6630000.0
2066,"Antipolo, Rizal",4,4,250,9000000.0
2067,"Urdaneta, Pangasinan",5,3,126,8500000.0
2068,"Padre Garcia, Batangas",3,2,80,5090000.0
2069,"Pila, Laguna",0,1,44,450000.0
2070,"Magalang, Pampanga",2,1,44,1080000.0
2071,"Angeles, Pampanga",3,2,86,3340000.0
2072,"General Trias, Cavite",3,2,72,3800000.0
2073,"Angeles, Pampanga",4,3,113,6850000.0
2074,"Porac, Pampanga",4,3,85,7080000.0
2075,"Davao City, Davao del Sur",5,4,240,14000000.0
2076,"Tagaytay, Cavite",3,2,207,55900000.0
2077,"Novaliches, Quezon City / QC, Metro Manila",5,3,200,5300000.0
2078,"San Jose, Batangas",5,3,400,15100000.0
2079,"Angeles, Pampanga",4,4,183,18500000.0
2080,"Lipa, Batangas",3,1,58,2330000.0
2081,"Cebu City, Cebu",3,3,220,28000000.0
2082,"Iloilo City, Iloilo",3,1,42,2000000.0
2083,"Tanza, Cavite",4,3,90,3300000.0
2084,"Santa Rosa, Laguna",3,3,95,17600000.0
2085,"Caloocan, Metro Manila",4,3,165,9430000.0
2086,"Padre Garcia, Batangas",3,2,75,3930000.0
2087,"Angeles, Pampanga",5,3,150,9230000.0
2088,"Antipolo, Rizal",4,4,200,9500000.0
2089,"Quezon City / QC, Metro Manila",4,3,170,15000000.0
2090,"Angeles, Pampanga",3,1,50,3810000.0
2091,"Pagadian, Zamboanga del Sur",3,1,42,1670000.0
2092,"Antipolo, Rizal",3,3,85,6070000.0
2093,"Bacolod, Negros Occidental",3,1,42,1820000.0
2094,"Marilao, Bulacan",3,2,79,4270000.0
2095,"Quezon City / QC, Metro Manila",3,4,216,16300000.0
2096,"Lipa, Batangas",3,2,78,6500000.0
2097,"Lipa, Batangas",5,3,132,4450000.0
2098,"Pasig, Metro Manila",4,2,200,12000000.0
2099,"San Mateo, Rizal",3,2,95,5700000.0
2100,"San Pedro, Laguna",3,2,167,8840000.0
2101,"Antipolo, Rizal",3,3,93,9300000.0
2102,"San Juan, Metro Manila",4,5,390,46000000.0
2103,"Talisay, Cebu",8,7,525,30000000.0
2104,"Tanza, Cavite",3,1,42,2270000.0
2105,"Taal, Batangas",2,1,44,2320000.0
2106,"Baras, Rizal",3,1,42,2540000.0
2107,"Biñan, Laguna",3,2,80,6300000.0
2108,"Baclayon, Bohol",3,2,60,3600000.0
2109,"Nasugbu, Batangas",2,1,50,2300000.0
2110,"Legazpi, Albay",3,1,42,2200000.0
2111,"Taytay, Rizal",5,5,280,19000000.0
2112,"Quezon City / QC, Metro Manila",3,4,216,16300000.0
2113,"Lipa, Batangas",3,2,78,6500000.0
2114,"San Mateo, Rizal",3,2,95,5700000.0
2115,"Talisay, Cebu",4,4,260,24000000.0
2116,"San Pedro, Laguna",3,2,167,8840000.0
2117,"Novaliches, Quezon City / QC, Metro Manila",5,3,200,5300000.0
2118,"Dasmariñas, Cavite",3,2,64,8390000.0
2119,"Dasmariñas, Cavite",2,1,52,7530000.0
2120,"Baclayon, Bohol",3,2,60,3600000.0
2121,"Baras, Rizal",3,1,42,2540000.0
2122,"Nasugbu, Batangas",2,1,50,2300000.0
2123,"Legazpi, Albay",3,1,42,2200000.0
2124,"Imus, Cavite",3,2,67,11200000.0
2125,"Biñan, Laguna",2,2,70,5100000.0
2126,"Dumaguete, Negros Oriental",5,3,166,10300000.0
2127,"Angeles, Pampanga",5,3,150,9230000.0
2128,"Butuan, Agusan del Norte",0,1,22,1220000.0
2129,"Magalang, Pampanga",2,1,44,1080000.0
2130,"Santa Maria, Bulacan",2,2,60,4099999.9999999995
2131,"Tanza, Cavite",3,1,42,2270000.0
2132,"Imus, Cavite",5,4,325,16000000.0
2133,"Bacolod, Negros Occidental",2,1,46,3150000.0
2134,"Bacolod, Negros Occidental",2,1,40,3010000.0
2135,"Mandaue, Cebu",4,2,70,5800000.0
2136,"Lezo, Aklan",2,1,102,4580000.0
2137,"Tanza, Cavite",3,1,42,2270000.0
2138,"Imus, Cavite",5,4,325,16000000.0
2139,"Lipa, Batangas",3,2,200,9000000.0
2140,"Puerto Princesa, Palawan",2,1,46,4890000.0
2141,"Tanauan, Batangas",0,1,46,1200000.0
2142,"Tanza, Cavite",3,1,53,2500000.0
2143,"Angeles, Pampanga",3,2,86,3340000.0
2144,"Bacoor, Cavite",3,2,125,6500000.0
2145,"Porac, Pampanga",4,3,85,7080000.0
2146,"Sorsogon City, Sorsogon",0,1,22,1130000.0
2147,"Capas, Tarlac",2,1,46,3320000.0
2148,"General Santos (Dadiangas), South Cotabato",4,3,85,5480000.0
2149,"Valenzuela, Metro Manila",5,4,330,16000000.0
2150,"Bacolod, Negros Occidental",2,1,70,909000.0
2151,"Angeles, Pampanga",0,1,30,1700000.0
2152,"Liloan, Cebu",6,7,500,35000000.0
2153,"Angeles, Pampanga",3,1,100,5500000.0
2154,"San Jose del Monte, Bulacan",3,2,104,5100000.0
2155,"Mactan, Lapu-Lapu, Cebu",3,4,238,20000000.0
2156,"Tandang Sora, Quezon City / QC, Metro Manila",8,5,380,22000000.0
2157,"Carcar, Cebu",2,1,51,2920000.0
2158,"Antipolo, Rizal",4,3,145,7200000.0
2159,"Lipa, Batangas",3,2,66,7020000.0
2160,"Alfonso, Cavite",2,2,72,5930000.0
2161,"San Juan, Metro Manila",6,5,450,48000000.0
2162,"Silay, Negros Occidental",3,1,42,2000000.0
2163,"Antipolo, Rizal",5,4,281,14900000.0
2164,"Mandaue, Cebu",4,3,119,7740000.0
2165,"Las Piñas, Metro Manila",6,6,436,21000000.0
2166,"Muntinlupa, Metro Manila",3,2,240,16500000.0
2167,"Las Piñas, Metro Manila",4,2,140,11500000.0
2168,"Calamba, Laguna",4,2,83,6010000.0
2169,"Antipolo, Rizal",5,4,180,10500000.0
2170,"San Jose del Monte, Bulacan",3,2,104,5100000.0
2171,"Mactan, Lapu-Lapu, Cebu",3,4,238,20000000.0
2172,"Tandang Sora, Quezon City / QC, Metro Manila",8,5,380,22000000.0
2173,"Carcar, Cebu",2,1,51,2920000.0
2174,"Antipolo, Rizal",4,3,145,7200000.0
2175,"Cavite Economic Zone, General Trias, Cavite",4,3,215,22000000.0
2176,"Angeles, Pampanga",3,1,100,5500000.0
2177,"Las Piñas, Metro Manila",6,6,480,55000000.0
2178,"Lipa, Batangas",3,2,66,7020000.0
2179,"Naic, Cavite",2,1,45,1440000.0
2180,"Oton, Iloilo",3,1,42,2009999.9999999998
2181,"Santa Rosa, Laguna",3,3,95,17600000.0
2182,"Bacolor, Pampanga",4,3,169,6510000.0
2183,"Santa Maria, Bulacan",2,1,56,2009999.9999999998
2184,"Santa Rosa, Laguna",2,1,42,2140000.0
2185,"Liloan, Cebu",6,7,500,35000000.0
2186,"Silang, Cavite",3,2,156,11000000.0
2187,"Butuan, Agusan del Norte",0,1,42,2029999.9999999998
2188,"Butuan, Agusan del Norte",0,1,42,2089999.9999999998
2189,"Clark, Angeles, Pampanga",3,2,86,9200000.0
2190,"Pasig, Metro Manila",5,5,350,22300000.0
2191,"Mabalacat, Pampanga",4,4,200,17500000.0
2192,"Mainit, Surigao del Norte",5,2,362,3500000.0
2193,"Antipolo, Rizal",3,3,115,6800000.0
2194,"San Jose del Monte, Bulacan",5,3,120,8790000.0
2195,"Cabanatuan, Nueva Ecija",3,1,35,2009999.9999999998
2196,"San Pablo, Laguna",2,1,44,1030000.0
2197,"San Juan, Metro Manila",4,4,350,37000000.0
2198,"Antipolo, Rizal",3,4,248,16000000.0
2199,"San Jose del Monte, Bulacan",2,1,36,2620000.0
2200,"Cabuyao, Laguna",2,1,46,4520000.0
2201,"New Manila, Quezon City / QC, Metro Manila",5,6,488,65000000.0
2202,"Butuan, Agusan del Norte",2,1,102,2500000.0
2203,"Quezon City / QC, Metro Manila",3,2,132,7320000.0
2204,"Lipa, Batangas",5,3,150,8740000.0
2205,"Lipa, Batangas",4,2,215,13400000.0
2206,"San Fernando, Pampanga",3,2,78,7400000.0
2207,"Imus, Cavite",3,1,40,1950000.0
2208,"Butuan, Agusan del Norte",3,1,42,2210000.0
2209,"San Fernando, Pampanga",3,2,102,4700000.0
2210,"Cavite Economic Zone, General Trias, Cavite",4,3,215,22000000.0
2211,"Las Piñas, Metro Manila",5,4,220,12000000.0
2212,"Las Piñas, Metro Manila",4,3,260,17000000.0
2213,"Las Piñas, Metro Manila",3,2,77,4900000.0
2214,"Naic, Cavite",2,1,45,1440000.0
2215,"Oton, Iloilo",3,1,42,2009999.9999999998
2216,"Cagayan de Oro, Misamis Oriental",3,1,100,1600000.0
2217,"Plaridel, Bulacan",5,3,158,10400000.0
2218,"Santa Rosa, Laguna",3,3,95,17600000.0
2219,"Bacolod, Negros Occidental",3,1,42,2000000.0
2220,"Alfonso, Cavite",2,2,72,5880000.0
2221,"Santa Rosa, Laguna",4,3,270,17000000.0
2222,"Santa Maria, Bulacan",2,2,80,3090000.0
2223,"Santa Maria, Bulacan",2,1,46,1680000.0
2224,"Antipolo, Rizal",5,2,115,6700000.0
2225,"Silang, Cavite",3,2,65,7810000.0
2226,"Calamba, Laguna",5,5,230,19000000.0
2227,"Alabang, Muntinlupa, Metro Manila",4,4,264,50100000.0
2228,"Calamba, Laguna",5,5,534,49200000.0
2229,"Alabang, Muntinlupa, Metro Manila",4,4,349,61700000.0
2230,"Silang, Cavite",3,2,156,11000000.0
2231,"Butuan, Agusan del Norte",0,1,42,2029999.9999999998
2232,"Las Piñas, Metro Manila",2,2,49,4190000.0000000005
2233,"Pagadian, Zamboanga del Sur",3,1,42,2060000.0
2234,"Taytay, Rizal",4,3,240,15700000.0
2235,"Cainta, Rizal",3,3,125,7800000.0
2236,"Marikina, Metro Manila",4,3,244,12900000.0
2237,"Biñan, Laguna",2,1,44,4500000.0
2238,"Quezon City / QC, Metro Manila",3,3,65,10000000.0
2239,"Bacoor, Cavite",3,3,96,4500000.0
2240,"Porac, Pampanga",2,2,53,5250000.0
2241,"Cabuyao, Laguna",2,1,46,4520000.0
2242,"San Jose del Monte, Bulacan",2,1,36,2620000.0
2243,"New Manila, Quezon City / QC, Metro Manila",5,6,488,65000000.0
2244,"Parañaque, Metro Manila",8,8,750,59000000.0
2245,"Butuan, Agusan del Norte",2,1,102,2500000.0
2246,"Quezon City / QC, Metro Manila",3,2,132,7320000.0
2247,"Lipa, Batangas",5,3,150,8740000.0
2248,"San Fernando, Pampanga",4,3,120,5600000.0
2249,"Lipa, Batangas",4,2,215,13400000.0
2250,"San Fernando, Pampanga",3,2,78,7400000.0
2251,"Butuan, Agusan del Norte",3,1,42,2210000.0
2252,"San Fernando, Pampanga",3,2,102,4700000.0
2253,"Las Piñas, Metro Manila",5,4,220,12000000.0
2254,"Las Piñas, Metro Manila",4,3,260,17000000.0
2255,"Las Piñas, Metro Manila",3,2,77,4900000.0
2256,"Mactan, Lapu-Lapu, Cebu",4,3,156,14000000.0
2257,"Marilao, Bulacan",2,1,51,1700000.0
2258,"Pandi, Bulacan",3,2,75,5490000.0
2259,"Imus, Cavite",2,1,42,1690000.0
2260,"Parañaque, Metro Manila",3,2,200,15000000.0
2261,"Lapu-Lapu (Opon), Cebu",2,1,52,3500000.0
2262,"Bacolod, Negros Occidental",2,1,36,2380000.0
2263,"Makati, Metro Manila",4,4,165,15500000.0
2264,"Mactan, Lapu-Lapu, Cebu",5,4,480,20000000.0
2265,"Minglanilla, Cebu",4,3,89,8260000.0
2266,"Minglanilla, Cebu",3,2,83,5500000.0
2267,"Bantayan, Cebu",4,3,150,8500000.0
2268,"Quezon City / QC, Metro Manila",6,6,920,138000000.0
2269,"Cebu City, Cebu",3,3,249,14500000.0
2270,"Quezon City / QC, Metro Manila",5,5,198,30000000.0
2271,"Padre Garcia, Batangas",5,4,158,7570000.0
2272,"Quezon City / QC, Metro Manila",3,3,298,21500000.0
2273,"Minglanilla, Cebu",3,2,85,3800000.0
2274,"BGC / Bonifacio Global City / The Fort / Fort Bonifacio, Taguig, Metro Manila",4,5,410,46800000.0
2275,"Lipa, Batangas",4,3,103,6550000.0
2276,"Meycauayan, Bulacan",2,1,51,2230000.0
2277,"Las Piñas, Metro Manila",4,4,349,72400000.0
2278,"Magalang, Pampanga",2,1,70,1800000.0
2279,"Butuan, Agusan del Norte",4,3,85,5650000.0
2280,"Binangonan, Rizal",3,2,109,4600000.0
2281,"Quezon City / QC, Metro Manila",4,4,149,13900000.0
2282,"Valenzuela, Metro Manila",3,2,168,8050000.000000001
2283,"Quezon City / QC, Metro Manila",3,3,65,10000000.0
2284,"Quezon City / QC, Metro Manila",5,3,380,29000000.0
2285,"Santa Maria, Bulacan",3,2,60,4750000.0
2286,"Lingayen, Pangasinan",4,3,200,15000000.0
2287,"Las Piñas, Metro Manila",6,7,520,80000000.0
2288,"Bacoor, Cavite",3,3,96,4500000.0
2289,"Las Piñas, Metro Manila",0,0,65,3090000.0
2290,"Marikina, Metro Manila",3,2,83,5240000.0
2291,"Antipolo, Rizal",2,3,384,15000000.0
2292,"Tanza, Cavite",3,2,55,3110000.0
2293,"San Jose, Batangas",3,3,84,8960000.0
2294,"Cagayan de Oro, Misamis Oriental",3,1,100,1600000.0
2295,"Bacolod, Negros Occidental",3,1,42,2000000.0
2296,"Carcar, Cebu",2,1,31,1590000.0
2297,"Legazpi, Albay",3,2,66,7490000.0
2298,"Daanbantayan, Cebu",3,2,103,3300000.0
2299,"Bacolod, Negros Occidental",2,1,36,2560000.0
2300,"Biñan, Laguna",2,1,44,4500000.0
2301,"Daanbantayan, Cebu",2,2,72,1910000.0
2302,"Pagadian, Zamboanga del Sur",3,1,42,2060000.0
2303,"Cauayan, Isabela",2,1,36,1820000.0
2304,"Porac, Pampanga",2,2,53,5250000.0
2305,"Mactan, Lapu-Lapu, Cebu",3,2,106,6410000.0
2306,"Cabuyao, Laguna",5,3,144,8850000.0
2307,"Mandaue, Cebu",4,3,156,6850000.0
2308,"Minglanilla, Cebu",3,2,106,6080000.0
2309,"Bacoor, Cavite",3,2,90,5280000.0
2310,"Las Piñas, Metro Manila",2,2,54,4070000.0000000005
2311,"Mariveles, Bataan",2,1,44,1500000.0
2312,"Tanza, Cavite",5,2,132,10400000.0
2313,"Lipa, Batangas",3,2,100,6550000.0
2314,"Santa Maria, Bulacan",3,2,60,4750000.0
2315,"Las Piñas, Metro Manila",4,3,150,8000000.0
2316,"Davao City, Davao del Sur",4,3,148,13500000.0
2317,"Malaybalay, Bukidnon",0,1,42,1670000.0
2318,"Malaybalay, Bukidnon",0,1,22,1070000.0
2319,"Silang, Cavite",5,5,600,80000000.0
2320,"Mactan, Lapu-Lapu, Cebu",5,5,210,12000000.0
2321,"Marikina, Metro Manila",3,2,83,5240000.0
2322,"Antipolo, Rizal",2,3,384,15000000.0
2323,"Santa Maria, Bulacan",2,1,53,4550000.0
2324,"Tanza, Cavite",3,2,55,3110000.0
2325,"Marilao, Bulacan",3,1,70,4350000.0
2326,"Pandi, Bulacan",2,1,46,1010000.0
2327,"Carcar, Cebu",2,1,31,1590000.0
2328,"Lapu-Lapu (Opon), Cebu",2,1,52,3500000.0
2329,"Las Piñas, Metro Manila",4,3,150,8000000.0
2330,"Davao City, Davao del Sur",4,3,148,13500000.0
2331,"Malaybalay, Bukidnon",0,1,42,1670000.0
2332,"Malaybalay, Bukidnon",0,1,22,1070000.0
2333,"Silang, Cavite",5,5,600,80000000.0
2334,"New Manila, Quezon City / QC, Metro Manila",4,4,220,28300000.0
2335,"Mactan, Lapu-Lapu, Cebu",5,5,210,12000000.0
2336,"Taytay, Rizal",5,5,393,27500000.0
2337,"Quezon City / QC, Metro Manila",6,6,920,138000000.0
2338,"San Juan, Metro Manila",7,6,610,90000000.0
2339,"Santa Maria, Bulacan",2,1,53,4550000.0
2340,"Antipolo, Rizal",3,3,96,8000000.0
2341,"Trece Martires, Cavite",2,1,52,1500000.0
2342,"Quezon City / QC, Metro Manila",3,3,298,21500000.0
2343,"Padre Garcia, Batangas",5,4,158,7570000.0
2344,"Marilao, Bulacan",3,1,70,4350000.0
2345,"Pandi, Bulacan",2,1,46,1010000.0
2346,"Apalit, Pampanga",5,3,142,10800000.0
2347,"Caloocan, Metro Manila",2,2,90,4030000.0000000005
2348,"Bacolod, Negros Occidental",2,1,46,2900000.0
2349,"Imus, Cavite",3,2,66,8510000.0
2350,"Nuvali, Calamba, Laguna",3,2,67,7950000.0
2351,"Imus, Cavite",2,1,42,1690000.0
2352,"Mactan, Lapu-Lapu, Cebu",3,2,106,6410000.0
2353,"Lipa, Batangas",2,1,46,4270000.0
2354,"Mandaue, Cebu",4,3,156,6850000.0
2355,"Minglanilla, Cebu",3,2,106,6080000.0
2356,"Clark, Angeles, Pampanga",3,3,145,6060000.0
2357,"Quezon City / QC, Metro Manila",5,5,270,28000000.0
2358,"Taytay, Rizal",4,4,400,24000000.0
2359,"Pasig, Metro Manila",5,4,280,22000000.0
2360,"Lipa, Batangas",2,2,48,3200000.0
2361,"General Santos (Dadiangas), South Cotabato",2,1,43,1050000.0
2362,"Santa Maria, Bulacan",3,2,60,4750000.0
2363,"Bacoor, Cavite",3,2,90,5280000.0
2364,"Las Piñas, Metro Manila",2,2,54,4070000.0000000005
2365,"Medellin, Cebu",11,5,200,3000000.0
2366,"Marikina, Metro Manila",3,2,83,5240000.0
2367,"Antipolo, Rizal",2,3,384,15000000.0
2368,"San Juan, Batangas",3,2,100,11500000.0
2369,"Alaminos, Pangasinan",2,1,36,1960000.0
2370,"Tanza, Cavite",3,2,55,3110000.0
2371,"Consolacion, Cebu",3,2,138,6800000.0
