PropertyDescription,Address,Sqm
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 2,500/sqm"
"For Sale Agricultural Farm 4,556 sqm. ","Alfonso, Cavite","₱ 2,000/sqm"
For Sale Agricultural Farm 100 sqm. ,"Tanay, Rizal","₱ 3,500/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 5,780/sqm"
For Sale Agricultural Farm 500 sqm. ,"Cebu City, Cebu","₱ 1,500/sqm"
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite","₱ 3,180/sqm"
"For Sale Residential Farm 2,000 sqm. ","Porac, Pampanga","₱ 5,000/sqm"
For Sale Residential Farm 118 sqm. ,"Tanauan, Batangas","₱ 6,000/sqm"
"For Sale Residential Farm 1,000 sqm. ","Pililla, Rizal","₱ 3,000/sqm"
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 2,800/sqm"
"For Sale Residential Farm 10,033 sqm. ","Tuy, Batangas",₱ 677/sqm
"For Sale Residential Farm 10,000 sqm. ","Villasis, Pangasinan",₱ 900/sqm
For Sale Residential Farm 150 sqm. ,"Indang, Cavite","₱ 5,250/sqm"
"For Sale Residential Farm 1,000 sqm. ","Alfonso, Cavite","₱ 2,900/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 5,780/sqm"
"For Sale Agricultural Farm 4,556 sqm. ","Alfonso, Cavite","₱ 2,000/sqm"
For Sale Residential Farm 260 sqm. ,"Amadeo, Cavite","₱ 6,500/sqm"
For Sale Residential Farm 200 sqm. ,"Jalajala, Rizal","₱ 1,800/sqm"
For Sale Residential Farm 300 sqm. ,"Indang, Cavite","₱ 3,850/sqm"
For Sale Agricultural Farm 750 sqm. ,"Calamba, Laguna","₱ 7,300/sqm"
"For Sale Residential Farm 10,200 sqm. ","Amadeo, Cavite","₱ 3,500/sqm"
"For Sale Residential Farm 1,288 sqm. ","Lipa, Batangas","₱ 9,071/sqm"
For Sale Residential Farm 800 sqm. ,"Tanay, Rizal","₱ 3,750/sqm"
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 2,800/sqm"
For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite","₱ 4,800/sqm"
For Sale Residential Farm 100 sqm. ,"Mabalacat, Pampanga","₱ 9,400/sqm"
"For Sale Residential Farm 1,000 sqm. ","Magallanes, Cavite","₱ 3,600/sqm"
For Sale Residential Farm 300 sqm. ,"Indang, Cavite","₱ 4,300/sqm"
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite","₱ 4,800/sqm"
For Sale Residential Farm 500 sqm. ,"Rosario, Batangas","₱ 1,200/sqm"
"For Sale Agricultural Farm 4,556 sqm. ","Alfonso, Cavite","₱ 2,000/sqm"
"For Sale Residential Farm 23,000 sqm. ","Nasugbu, Batangas",₱ 239/sqm
"For Sale Agricultural Farm 1,001 sqm. ","Alfonso, Cavite","₱ 6,493/sqm"
"For Sale Agricultural Farm 4,880 sqm. ","Lipa, Batangas","₱ 5,020/sqm"
"For Sale Residential Farm 1,928 sqm. ","Iba, Zambales","₱ 11,929/sqm"
"For Sale Residential 1,197 sqm. ","Silang, Cavite","₱ 9,000/sqm"
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 2,300/sqm"
For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite","₱ 4,800/sqm"
For Sale Residential Farm 500 sqm. ,"Amadeo, Cavite","₱ 5,500/sqm"
For Sale Residential Farm 100 sqm. ,"Mabalacat, Pampanga","₱ 9,400/sqm"
"For Sale Residential Farm 1,000 sqm. ","Magallanes, Cavite","₱ 3,600/sqm"
"For Sale Residential Farm 1,000 sqm. ","Indang, Cavite","₱ 4,800/sqm"
"For Sale Residential Farm 14,669 sqm. ","Naic, Cavite","₱ 2,400/sqm"
For Sale Residential Farm 200 sqm. ,"Jalajala, Rizal","₱ 2,000/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Jalajala, Rizal",₱ 700/sqm
"For Sale Residential Farm 2,000 sqm. ","Calaca, Batangas","₱ 1,500/sqm"
"For Sale Agricultural Farm 10,800 sqm. ","Magdalena, Laguna","₱ 1,500/sqm"
"For Sale Residential Farm 24,000 sqm. ","Dolores, Quezon",₱ 600/sqm
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 5,798/sqm"
"For Sale Agricultural Farm 1,394 sqm. ","Magallanes, Cavite","₱ 2,800/sqm"
"For Sale Residential Farm 25,000 sqm. ","San Juan, Batangas",₱ 600/sqm
For Sale Residential Farm 500 sqm. ,"Cebu IT Park, Cebu City, Cebu","₱ 1,500/sqm"
For Sale Agro-Industrial Farm 500 sqm. ,"Indang, Cavite","₱ 5,800/sqm"
"For Sale Agricultural Farm 10,800 sqm. ","Magdalena, Laguna","₱ 1,500/sqm"
For Sale Residential Farm 500 sqm. ,"Amadeo, Cavite","₱ 5,500/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Jalajala, Rizal",₱ 700/sqm
"For Sale Raw Land 20,165 sqm. ","San Remigio, Cebu",₱ 991/sqm
For Sale Residential Farm 200 sqm. ,"Jalajala, Rizal","₱ 2,000/sqm"
"For Sale Agricultural Farm 1,500 sqm. ","Indang, Cavite","₱ 2,500/sqm"
"For Sale Residential Farm 2,000 sqm. ","Calaca, Batangas","₱ 1,500/sqm"
"For Sale Residential Farm 24,000 sqm. ","Dolores, Quezon",₱ 600/sqm
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 5,798/sqm"
"For Sale Residential Farm 25,000 sqm. ","San Juan, Batangas",₱ 600/sqm
For Sale Residential Farm 300 sqm. ,"Tagaytay, Cavite","₱ 30,334/sqm"
For Sale Residential Farm 500 sqm. ,"Cebu IT Park, Cebu City, Cebu","₱ 1,500/sqm"
"For Sale Agricultural Farm 8,224 sqm. ","General Emilio Aguinaldo, Cavite","₱ 1,200/sqm"
For Sale Agro-Industrial Farm 500 sqm. ,"Indang, Cavite","₱ 5,800/sqm"
For Sale Residential Farm 250 sqm. ,"Silang, Cavite","₱ 4,500/sqm"
For Sale Residential Farm 170 sqm. ,"Alfonso, Cavite","₱ 5,500/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Cebu City, Cebu",₱ 350/sqm
For Sale Residential Farm 100 sqm. ,"Tanay, Rizal","₱ 3,000/sqm"
"For Sale Residential Farm 1,275 sqm. ","Santa Maria, Bulacan","₱ 8,000/sqm"
"For Sale Agricultural Farm 2,391,186 sqm. ","Santa Barbara, Pangasinan",₱ 300/sqm
For Sale Residential Farm 499 sqm. ,"Indang, Cavite","₱ 3,734/sqm"
"For Sale Agricultural Farm 1,105 sqm. ","Liliw, Laguna","₱ 3,000/sqm"
For Sale Residential Farm 430 sqm. ,"Magallanes, Cavite","₱ 2,500/sqm"
"For Sale Residential Farm 2,025 sqm. ","Santo Tomas, Batangas","₱ 2,500/sqm"
"For Sale Agricultural Farm 45,451 sqm. ","San Manuel, Tarlac","₱ 3,500/sqm"
For Sale Residential Farm 500 sqm. ,"Cebu City, Cebu","₱ 1,500/sqm"
For Sale Residential Farm 250 sqm. ,"Tagaytay, Cavite","₱ 9,025/sqm"
"For Sale Agricultural Farm 9,607 sqm. ","Alaminos, Pangasinan",₱ 572/sqm
"For Sale Agricultural Farm 8,224 sqm. ","General Emilio Aguinaldo, Cavite","₱ 1,200/sqm"
"For Sale Agricultural Farm 14,883 sqm. ","Palauig, Zambales",₱ 806/sqm
"For Sale Residential Farm 1,275 sqm. ","Santa Maria, Bulacan","₱ 8,000/sqm"
For Sale Residential Farm 499 sqm. ,"Indang, Cavite","₱ 3,734/sqm"
"For Sale Agricultural Farm 1,105 sqm. ","Liliw, Laguna","₱ 3,000/sqm"
"For Sale Residential Farm 5,000 sqm. ","Indang, Cavite","₱ 1,900/sqm"
For Sale Residential Farm 88 sqm. ,"General Trias, Cavite","₱ 39,806/sqm"
For Sale Residential Farm 450 sqm. ,"Santa Barbara, Pangasinan","₱ 3,500/sqm"
"For Sale Agricultural Farm 40,700 sqm. ","Lupao, Nueva Ecija",₱ 900/sqm
"For Sale Residential Farm 1,687 sqm. ","Mangaldan, Pangasinan","₱ 3,971/sqm"
"For Sale Residential Farm 21,000 sqm. ","Commonwealth, Quezon City / QC, Metro Manila",₱ 809/sqm
"For Sale Residential Farm 19,697 sqm. ","Magallanes, Cavite","₱ 2,600/sqm"
"For Sale Agricultural Farm 30,000 sqm. ","Liliw, Laguna",₱ 330/sqm
For Sale Residential Farm 200 sqm. ,"Jalajala, Rizal","₱ 2,000/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Balungao, Pangasinan","₱ 3,500/sqm"
For Sale Residential Farm 753 sqm. ,"Manolo Fortich, Bukidnon","₱ 5,912/sqm"
"For Sale Residential Farm 11,000 sqm. ","Rosario, Batangas",₱ 450/sqm
"For Sale Agricultural Farm 4,979 sqm. ","Amadeo, Cavite","₱ 2,500/sqm"
"For Sale Agricultural Farm 114,000 sqm. ","Calauan, Laguna",₱ 400/sqm
"For Sale Residential Farm 10,264 sqm. ","San Pablo, Laguna","₱ 2,500/sqm"
For Sale Residential Farm 200 sqm. ,"Jalajala, Rizal","₱ 2,000/sqm"
"For Sale Agricultural Farm 314,909 sqm. ","Iba, Zambales",₱ 700/sqm
"For Sale Agro-Industrial Farm 20,000 sqm. ","Villasis, Pangasinan",₱ 300/sqm
"For Sale Agricultural Farm 40,700 sqm. ","Lupao, Nueva Ecija",₱ 900/sqm
"For Sale Residential Farm 19,697 sqm. ","Magallanes, Cavite","₱ 2,600/sqm"
"For Sale Agricultural Farm 30,000 sqm. ","Liliw, Laguna",₱ 330/sqm
"For Sale Agricultural Farm 1,000 sqm. ","Balungao, Pangasinan","₱ 3,500/sqm"
"For Sale Agricultural Farm 4,979 sqm. ","Amadeo, Cavite","₱ 2,500/sqm"
"For Sale Agricultural Farm 114,000 sqm. ","Calauan, Laguna",₱ 400/sqm
For Sale Residential Farm 293 sqm. ,"San Juan, Batangas","₱ 16,600/sqm"
"For Sale Residential Farm 10,264 sqm. ","San Pablo, Laguna","₱ 2,500/sqm"
For Sale Agricultural Farm 948 sqm. ,"Tiaong, Quezon",₱ 896/sqm
For Sale Residential Farm 917 sqm. ,"San Pablo, Laguna","₱ 3,271/sqm"
"For Sale Residential Farm 30,000 sqm. ","Saguday, Quirino",₱ 120/sqm
For Sale Residential Farm 100 sqm. ,"Norzagaray, Bulacan","₱ 3,200/sqm"
"For Sale Others 2,826 sqm. ","Santa Barbara, Pangasinan",₱ 700/sqm
For Sale Agricultural Farm 360 sqm. ,"Trece Martires, Cavite","₱ 8,000/sqm"
"For Sale Agricultural Farm 18,000 sqm. ","Magdalena, Laguna","₱ 1,500/sqm"
For Sale Residential Farm 100 sqm. ,"Doña Remedios Trinidad, Bulacan","₱ 2,700/sqm"
"For Sale Residential Farm 19,971 sqm. ","San Jose del Monte, Bulacan","₱ 3,000/sqm"
"For Sale Agricultural Farm 4,144 sqm. ","Mendez (Mendez-Nuñez), Cavite","₱ 3,499/sqm"
"For Sale Agricultural Farm 2,100 sqm. ","Indang, Cavite","₱ 3,500/sqm"
For Sale Residential Farm 300 sqm. ,"Antipolo, Rizal","₱ 2,500/sqm"
"For Sale Agricultural Farm 68,000 sqm. ","Calauag, Quezon",₱ 100/sqm
For Sale Agricultural Farm 360 sqm. ,"Trece Martires, Cavite","₱ 8,000/sqm"
"For Sale Agricultural Farm 18,000 sqm. ","Magdalena, Laguna","₱ 1,500/sqm"
For Sale Residential Farm 100 sqm. ,"Doña Remedios Trinidad, Bulacan","₱ 2,700/sqm"
"For Sale Agricultural Farm 4,144 sqm. ","Mendez (Mendez-Nuñez), Cavite","₱ 3,499/sqm"
"For Sale Residential Farm 9,330 sqm. ","Batangas City, Batangas","₱ 1,393/sqm"
For Sale Residential Farm 500 sqm. ,"Amadeo, Cavite","₱ 4,500/sqm"
"For Sale Agricultural Farm 2,100 sqm. ","Indang, Cavite","₱ 3,500/sqm"
For Sale Residential Farm 300 sqm. ,"Antipolo, Rizal","₱ 2,500/sqm"
"For Sale Agricultural Farm 68,000 sqm. ","Calauag, Quezon",₱ 100/sqm
"For Sale Residential Farm 67,000 sqm. ","Kalayaan, Laguna",₱ 402/sqm
"For Sale Raw Land 6,048 sqm. ","Indang, Cavite","₱ 2,976/sqm"
For Sale Residential Farm 250 sqm. ,"Clarin, Bohol","₱ 1,000/sqm"
"For Sale Residential Farm 25,000 sqm. ","Dolores, Quezon",₱ 720/sqm
"For Sale Agro-Industrial Farm 15,000 sqm. ","Bacong, Negros Oriental","₱ 1,500/sqm"
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite","₱ 3,800/sqm"
For Sale Residential Farm 902 sqm. ,"Pililla, Rizal","₱ 2,500/sqm"
For Sale Residential Farm 500 sqm. ,"Pililla, Rizal","₱ 1,500/sqm"
"For Sale Agricultural Farm 25,308 sqm. ","San Miguel, Bulacan",₱ 900/sqm
For Sale Residential Farm 100 sqm. ,"Tanay, Rizal","₱ 3,000/sqm"
"For Sale Agricultural Farm 170,000 sqm. ","Calapan, Oriental Mindoro",₱ 294/sqm
"For Sale Agricultural Farm 10,000 sqm. ","Tanay, Rizal","₱ 1,500/sqm"
"For Sale Agricultural Farm 9,139 sqm. ","Sariaya, Quezon","₱ 1,203/sqm"
"For Sale Residential Farm 13,969 sqm. ","General Tinio (Papaya), Nueva Ecija",₱ 522/sqm
For Sale Residential Farm 100 sqm. ,"San Pablo, Laguna","₱ 17,000/sqm"
For Sale Residential 500 sqm. ,"Indang, Cavite","₱ 5,000/sqm"
"For Sale Residential Farm 9,000 sqm. ","Bolinao, Pangasinan",₱ 750/sqm
"For Sale Agricultural Farm 75,000 sqm. ","Umingan, Pangasinan",₱ 130/sqm
"For Sale Agricultural Farm 10,628 sqm. ","Amadeo, Cavite","₱ 11,000/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 2,600/sqm"
"For Sale Agricultural Farm 132,461 sqm. ","Bustos, Bulacan","₱ 1,020/sqm"
For Sale Residential Farm 150 sqm. ,"Tanay, Rizal","₱ 3,000/sqm"
For Sale Agricultural Farm 878 sqm. ,"Santa Rita, Pampanga","₱ 3,416/sqm"
"For Sale Raw Land 119,885 sqm. ","Maragondon, Cavite",₱ 700/sqm
"For Sale Agricultural Farm 13,000 sqm. ","Mexico, Pampanga","₱ 2,000/sqm"
For Sale Residential Farm 500 sqm. ,"Indang, Cavite","₱ 2,500/sqm"
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite","₱ 3,800/sqm"
"For Sale Agricultural Farm 25,308 sqm. ","San Miguel, Bulacan",₱ 900/sqm
For Sale Residential Farm 500 sqm. ,"Pililla, Rizal","₱ 1,200/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 5,798/sqm"
"For Sale Residential Farm 3,648 sqm. ","Alfonso, Cavite","₱ 6,167/sqm"
"For Sale Others 170,000 sqm. ","Calapan, Oriental Mindoro",₱ 111/sqm
"For Sale Agricultural Farm 17,791 sqm. ","Tagaytay, Cavite","₱ 6,921/sqm"
"For Sale Agricultural Farm 30,000 sqm. ","Lipa, Batangas",₱ 900/sqm
For Sale Residential 200 sqm. ,"Indang, Cavite","₱ 7,200/sqm"
"For Sale Agricultural Farm 3,200 sqm. ","Mendez (Mendez-Nuñez), Cavite","₱ 4,000/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Tuy, Batangas",₱ 500/sqm
"For Sale Residential Farm 11,700 sqm. ","Iba, Zambales","₱ 1,100/sqm"
"For Sale Agricultural Farm 13,000 sqm. ","Mexico, Pampanga","₱ 2,000/sqm"
"For Sale Residential Farm 70,000 sqm. ","Calatagan, Batangas",₱ 300/sqm
"For Sale Agricultural Farm 10,056 sqm. ","San Isidro, Surigao del Norte",₱ 994/sqm
"For Sale Agricultural Farm 2,029 sqm. ","Mendez (Mendez-Nuñez), Cavite","₱ 2,500/sqm"
"For Sale Residential Farm 48,194 sqm. ","San Jose, Tarlac",₱ 380/sqm
"For Sale Residential Farm 3,648 sqm. ","Alfonso, Cavite","₱ 6,167/sqm"
"For Sale Agro-Industrial Farm 22,231 sqm. ","San Rafael, Bulacan","₱ 2,975/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tiaong, Quezon","₱ 1,300/sqm"
For Sale Residential Farm 200 sqm. ,"Carmen, Cebu","₱ 3,500/sqm"
"For Sale Agricultural Farm 17,791 sqm. ","Tagaytay, Cavite","₱ 6,921/sqm"
For Sale Residential Farm 100 sqm. ,"Tanay, Rizal","₱ 5,000/sqm"
For Sale Residential Farm 200 sqm. ,"Maragondon, Cavite","₱ 4,500/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Amadeo, Cavite","₱ 4,000/sqm"
"For Sale Agricultural Farm 2,418 sqm. ","Tagaytay, Cavite","₱ 5,000/sqm"
"For Sale Agricultural Farm 30,000 sqm. ","Lipa, Batangas",₱ 900/sqm
For Sale Residential Farm 150 sqm. ,"Indang, Cavite","₱ 3,500/sqm"
For Sale Residential 200 sqm. ,"Indang, Cavite","₱ 7,200/sqm"
"For Sale Agricultural Farm 16,400 sqm. ","Silang, Cavite","₱ 7,000/sqm"
"For Sale Residential Farm 10,000 sqm. ","Rosario, Batangas",₱ 700/sqm
"For Sale Agricultural Farm 1,200 sqm. ","Magallanes, Cavite","₱ 2,083/sqm"
"For Sale Agricultural Farm 14,000 sqm. ","Gumaca, Quezon",₱ 192/sqm
For Sale Residential Farm 200 sqm. ,"Amadeo, Cavite","₱ 5,500/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","General Trias, Cavite","₱ 15,000/sqm"
"For Sale Agricultural Farm 31,387 sqm. ","Plaridel, Bulacan","₱ 2,550/sqm"
For Sale Agricultural Farm 350 sqm. ,"Magallanes, Cavite","₱ 2,800/sqm"
"For Sale Residential Farm 2,000 sqm. ","Amadeo, Cavite","₱ 5,250/sqm"
"For Sale Agricultural Farm 12,395 sqm. ","Magalang, Pampanga","₱ 3,000/sqm"
For Sale Residential Farm 500 sqm. ,"Tanay, Rizal","₱ 3,000/sqm"
For Sale Residential Farm 500 sqm. ,"Silang, Cavite","₱ 6,000/sqm"
For Sale Residential Farm 948 sqm. ,"Tiaong, Quezon",₱ 850/sqm
For Sale Residential Farm 948 sqm. ,"Tiaong, Quezon",₱ 896/sqm
"For Sale Agricultural Farm 160,000 sqm. ","Balungao, Pangasinan",₱ 180/sqm
For Sale Residential Farm 629 sqm. ,"Goa, Camarines Sur","₱ 6,359/sqm"
For Sale Agricultural Farm 691 sqm. ,"Dolores, Quezon","₱ 1,201/sqm"
For Sale Residential Farm 500 sqm. ,"San Antonio, Quezon","₱ 1,100/sqm"
"For Sale Residential Farm 50,000 sqm. ","Bacolor, Pampanga","₱ 1,200/sqm"
For Sale Residential Farm 629 sqm. ,"Plaridel, Bulacan","₱ 4,000/sqm"
"For Sale Residential Farm 1,485 sqm. ","Tanza, Cavite","₱ 5,328/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Tabuelan, Cebu","₱ 1,000/sqm"
"For Sale Residential Farm 1,000 sqm. ","Pililla, Rizal","₱ 2,300/sqm"
"For Sale Agricultural Farm 15,000 sqm. ","Umingan, Pangasinan",₱ 233/sqm
For Sale Residential Farm 100 sqm. ,"Pinamungajan, Cebu","₱ 3,800/sqm"
"For Sale Residential 1,000 sqm. ","Amadeo, Cavite","₱ 4,500/sqm"
"For Sale Residential Farm 1,000 sqm. ","Amadeo, Cavite","₱ 4,000/sqm"
"For Sale Agricultural Farm 200,000 sqm. ","San Jose, Tarlac",₱ 300/sqm
"For Sale Residential Farm 8,222 sqm. ","Lipa, Batangas","₱ 2,500/sqm"
"For Sale Agricultural Farm 493,233 sqm. ","San Miguel, Bulacan",₱ 350/sqm
"For Sale Residential Farm 1,200 sqm. ","Mendez (Mendez-Nuñez), Cavite","₱ 3,000/sqm"
"For Sale Residential Farm 1,200 sqm. ","Mendez (Mendez-Nuñez), Cavite","₱ 3,000/sqm"
"For Sale Agricultural Farm 1,000 sqm. ","Indang, Cavite","₱ 4,000/sqm"
"For Sale Agricultural Farm 4,500 sqm. ","Batangas City, Batangas","₱ 4,000/sqm"
"For Sale Residential Farm 100,000 sqm. ","Calatagan, Batangas",₱ 300/sqm
For Sale Residential 200 sqm. ,"Silang, Cavite","₱ 10,000/sqm"
"For Sale Residential Farm 2,000 sqm. ","Plaridel, Bulacan","₱ 3,500/sqm"
"For Sale Agro-Industrial Farm 45,000 sqm. ","Laak (San Vicente), Davao de Oro (Compostela Valley)",₱ 155/sqm
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","₱ 4,500/sqm"
For Sale Residential Farm 188 sqm. ,"Silang, Cavite","₱ 6,500/sqm"
For Sale Residential Farm 300 sqm. ,"Antipolo, Rizal","₱ 3,500/sqm"
"For Sale Agro-Industrial Farm 10,000 sqm. ","Mendez (Mendez-Nuñez), Cavite","₱ 1,000/sqm"
"For Sale Agricultural Farm 45,000 sqm. ","Daanbantayan, Cebu",₱ 400/sqm
"For Sale Residential Farm 23,000 sqm. ","Indang, Cavite",₱ 800/sqm
For Sale Agricultural Farm 200 sqm. ,"Borbon, Cebu","₱ 1,250/sqm"
For Sale Agricultural Farm 250 sqm. ,"Silang, Cavite","₱ 4,500/sqm"
"For Sale Residential Farm 50,000 sqm. ","Lian, Batangas",₱ 500/sqm
"For Sale Residential Farm 2,600 sqm. ","Indang, Cavite","₱ 2,500/sqm"
"For Sale Agricultural Farm 39,466 sqm. ","Iguig, Cagayan",₱ 450/sqm
"For Sale Residential Farm 10,300 sqm. ","Silang, Cavite","₱ 3,495/sqm"
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 2,800/sqm"
For Sale Residential Farm 500 sqm. ,"Alfonso, Cavite","₱ 3,700/sqm"
"For Sale Agricultural Farm 1,472 sqm. ","Baao, Camarines Sur",₱ 750/sqm
"For Sale Residential Farm 20,000 sqm. ","Nasugbu, Batangas",₱ 400/sqm
"For Sale Residential Farm 7,348 sqm. ","Iba, Zambales","₱ 1,088/sqm"
"For Sale Residential Farm 50,000 sqm. ","Lian, Batangas",â‚± 500/sqm
"For Sale Residential Farm 10,300 sqm. ","Silang, Cavite","â‚± 3,495/sqm"
"For Sale Residential Farm 10,500 sqm. ","Valencia (Luzurriaga), Negros Oriental","â‚± 1,500/sqm"
"For Sale Residential Farm 20,000 sqm. ","Taysan, Batangas",â‚± 550/sqm
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","â‚± 2,800/sqm"
"For Sale Residential 5,000 sqm. ","San Vicente, Palawan",â‚± 95/sqm
For Sale Residential Farm 300 sqm. ,"Alfonso, Cavite","â‚± 4,600/sqm"
"For Sale Agricultural Farm 8,400 sqm. ","Dinalupihan, Bataan","â‚± 1,095/sqm"
"For Sale Agricultural Farm 17,589 sqm. ","Rosario, La Union","â‚± 1,500/sqm"
For Sale Residential Farm 500 sqm. ,"Magallanes, Cavite","â‚± 3,900/sqm"
For Sale Residential Farm 100 sqm. ,"Pililla, Rizal","â‚± 5,780/sqm"
"For Sale Residential Farm 3,000 sqm. ","Puerto Princesa, Palawan","â‚± 1,500/sqm"
For Sale Residential Farm 500 sqm. ,"Indang, Cavite","â‚± 3,200/sqm"
"For Sale Residential Farm 43,000 sqm. ","Sagay, Negros Occidental",â‚± 900/sqm
For Sale Residential Farm 750 sqm. ,"Norzagaray, Bulacan",â‚± 400/sqm
"For Sale Agricultural Farm 1,004 sqm. ","Indang, Cavite","â‚± 2,788/sqm"
"For Sale Residential Farm 110,000 sqm. ","Rosario, Batangas",â‚± 200/sqm
"For Sale Others 245,000 sqm. ","Rosario, Batangas",â‚± 550/sqm
For Sale Residential Farm 250 sqm. ,"Mendez (Mendez-NuÃ±ez), Cavite","â‚± 4,500/sqm"
"For Sale Residential Farm 50,000 sqm. ","Balayan, Batangas",â‚± 950/sqm
"For Sale Agricultural Farm 22,222 sqm. ","Tanauan, Batangas",â‚± 700/sqm
For Sale Residential Farm 250 sqm. ,"Mendez (Mendez-NuÃ±ez), Cavite","â‚± 4,500/sqm"
"For Sale Residential Farm 6,631 sqm. ","Calaca, Batangas",â‚± 700/sqm
"For Sale Residential Farm 7,377 sqm. ","Daanbantayan, Cebu",â‚± 850/sqm
For Sale Residential Farm 499 sqm. ,"Indang, Cavite","₱ 3,847/sqm"
"For Sale Residential Farm 6,631 sqm. ","Calaca, Batangas",₱ 700/sqm
"For Sale Residential Farm 7,377 sqm. ","Daanbantayan, Cebu",₱ 850/sqm
For Sale Agricultural Farm 150 sqm. ,"San Isidro, Surigao del Norte","₱ 8,000/sqm"
"For Sale Agricultural Farm 10,000 sqm. ","Plaridel, Bulacan","₱ 15,000/sqm"
For Sale Raw Land 500 sqm. ,"Plaridel, Bulacan","₱ 8,500/sqm"
For Sale Residential 120 sqm. ,"Lian, Batangas","₱ 11,000/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 7,000/sqm"
For Sale Agricultural Farm 300 sqm. ,"Jalajala, Rizal","₱ 2,500/sqm"
For Sale Residential Farm 100 sqm. ,"Jalajala, Rizal","₱ 2,800/sqm"
For Sale Residential Farm 300 sqm. ,"Magallanes, Cavite","₱ 3,300/sqm"
For Sale Residential Farm 100 sqm. ,"Tarlac City, Tarlac","₱ 4,000/sqm"
"For Sale Commercial 1,324 sqm. ","Biñan, Laguna","₱ 68,000/sqm"
For Sale Residential 100 sqm. ,"Silang, Cavite","₱ 30,530/sqm"
For Sale Residential 150 sqm. ,"San Rafael, Bulacan","₱ 11,200/sqm"
For Sale Residential 120 sqm. ,"Lian, Batangas","₱ 11,000/sqm"
For Sale Residential 150 sqm. ,"Silang, Cavite","₱ 7,000/sqm"
For Sale Residential 225 sqm. ,"Silang, Cavite","₱ 33,540/sqm"
For Sale Residential 150 sqm. ,"Nuvali, Calamba, Laguna","₱ 39,000/sqm"
For Sale Residential 124 sqm. ,"Biñan, Laguna","₱ 22,400/sqm"
For Sale Residential 240 sqm. ,"Trece Martires, Cavite","₱ 25,200/sqm"
For Sale Residential 288 sqm. ,"Tagaytay, Cavite","₱ 16,000/sqm"
For Sale Residential 80 sqm. ,"Tanay, Rizal","₱ 4,500/sqm"
For Sale Memorial Lot 30 sqm. ,"Padre Garcia, Batangas","₱ 2,666/sqm"
For Sale Residential 60 sqm. ,"Trece Martires, Cavite","₱ 27,133/sqm"
For Sale Residential Farm 499 sqm. ,"Indang, Cavite","₱ 3,847/sqm"
For Sale Residential 200 sqm. ,"Bagac, Bataan","₱ 16,167/sqm"
For Sale Residential 110 sqm. ,"Mabalacat, Pampanga","₱ 20,768/sqm"
For Sale Residential 50 sqm. ,"Lapu-Lapu (Opon), Cebu","₱ 12,500/sqm"
For Sale Memorial Lot 2 sqm. ,"Antipolo, Rizal","₱ 24,000/sqm"
For Sale Residential 137 sqm. ,"Imus, Cavite","₱ 15,839/sqm"
For Sale Residential 132 sqm. ,"Lipa, Batangas","₱ 23,240/sqm"
For Sale Residential 146 sqm. ,"Pulilan, Bulacan","₱ 19,863/sqm"
"For Sale Commercial 1,572 sqm. ","Tagbilaran, Bohol","₱ 7,951/sqm"
For Sale Residential 128 sqm. ,"Nuvali, Santa Rosa, Laguna","₱ 37,132/sqm"
"For Sale Agricultural Farm 45,000 sqm. ","Santo Tomas, Davao del Norte",₱ 55/sqm
For Sale Commercial 633 sqm. ,"San Pedro, Laguna","₱ 31,661/sqm"
For Sale Residential 137 sqm. ,"Santa Maria, Bulacan","₱ 21,000/sqm"
"For Sale Residential 2,914 sqm. ","Novaliches, Quezon City / QC, Metro Manila","₱ 9,608/sqm"
