,Country,PrimaryDatabase,YearsWithThisDatabase,EmploymentStatus,JobTitle,HoursWorkedPerWeek,EmploymentSector,SalaryUSD
1004,United States,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,140000.0
1005,United States,Microsoft SQL Server,4,Full time employee,Engineer,40,Private business,65000.0
1006,United States,Microsoft SQL Server,15,Full time employee,Developer,50,Private business,94000.0
1007,United Kingdom,Microsoft SQL Server,8,Full time employee,DBA,50,Private business,55000.0
1008,United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,84000.0
1009,United States,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,120000.0
1010,United States,Microsoft SQL Server,6,Full time employee,DBA,45,Government,123000.0
1011,Australia,Microsoft SQL Server,12,Full time employee,Developer,40,Government,80000.0
1012,United States,Microsoft SQL Server,12,Full time employee,Engineer,45,Private business,100000.0
1013,United States,Microsoft SQL Server,11,Full time employee,Developer,40,Private business,70000.0
1014,United States,Microsoft SQL Server,12,Full time employee,Analyst,42,Private business,1450000.0
1015,United States,Microsoft SQL Server,3,Independent,Developer,40,Private business,68000.0
1016,Canada,Microsoft SQL Server,8,Full time employee,DBA,38,Government,71807.0
1017,United States,Microsoft SQL Server,18,Full time employee,Architect,45,Private business,140000.0
1018,United States,Microsoft SQL Server,5,Full time employee,DBA,40,Government,105000.0
1019,United States,Microsoft SQL Server,9,Full time employee,DBA,40,Private business,120000.0
1020,Australia,Microsoft SQL Server,20,Full time employee,Developer,38,Private business,80080.0
1021,United States,Microsoft SQL Server,20,Full time employee,DBA,40,Government,120000.0
1022,United States,Microsoft SQL Server,17,Full time employee,Developer,45,Private business,129000.0
1023,Canada,Microsoft SQL Server,6,Full time employee,DBA,45,Private business,72000.0
1024,United States,Microsoft SQL Server,15,Full time employee,Architect,50,Private business,116000.0
1025,Portugal,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,49000.0
1026,United States,Microsoft SQL Server,4,Full time employee,DBA,47,Government,72450.0
1027,Sweden,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,67902.0
1028,United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,121950.0
1029,United States,Microsoft SQL Server,21,Independent,Developer,50,Private business,160000.0
1030,United States,Microsoft SQL Server,16,Full time employee,DBA,50,Private business,106000.0
1031,United States,Microsoft SQL Server,12,Full time employee,DBA,41,Private business,90000.0
1032,United States,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,118000.0
1033,United Kingdom,Other,20,Full time employee,Other,42,Private business,60000.0
1034,Australia,Microsoft SQL Server,9,Full time employee,Engineer,45,Private business,95000.0
1035,El Salvador,PostgreSQL,1,Full time employee,Analyst,40,Private business,20000.0
1036,New Zealand,Oracle,1,Full time employee,Engineer,40,Private business,70000.0
1037,Norway,Microsoft SQL Server,12,Full time employee,Developer,45,Private business,120000.0
1038,United States,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,90000.0
1039,United States,Microsoft SQL Server,5,Full time employee,Developer,40,Private business,101400.0
1040,Denmark,Microsoft SQL Server,11,Full time employee,DBA,37,Private business,120000.0
1041,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,130000.0
1042,United States,Microsoft SQL Server,2,Full time employee,Analyst,40,Private business,55000.0
1043,United Kingdom,Microsoft SQL Server,16,Independent,DBA,40,Private business,120000.0
1044,United States,Microsoft SQL Server,8,Full time employee,DBA,30,Private business,112000.0
1045,United States,Oracle,2,Full time employee,Engineer,40,Private business,75000.0
1046,United States,Microsoft SQL Server,14,Full time employee,DBA,45,Private business,112000.0
1047,United States,Microsoft SQL Server,9,Full time employee,Architect,45,Private business,132000.0
1048,United States,Microsoft SQL Server,15,Independent,Developer,60,Private business,196000.0
1049,United States,Microsoft SQL Server,16,Full time employee,DBA,50,Government,82000.0
1050,United States,Microsoft SQL Server,20,Full time employee,Architect,45,Private business,133000.0
1051,United States,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,120000.0
1052,United States,Microsoft SQL Server,6,Full time employee,DBA,41,Private business,100000.0
1053,Italy,Microsoft SQL Server,16,Independent,DBA,50,Private business,100000.0
1054,United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,145000.0
1055,United States,Microsoft SQL Server,20,Full time employee,Data Scientist,55,Private business,175000.0
1056,United States,Microsoft SQL Server,17,Full time employee,DBA,37,Private business,147000.0
1057,United States,Microsoft SQL Server,6,Full time employee,DBA,45,Private business,55000.0
1058,Australia,Microsoft SQL Server,10,Full time employee,Developer,45,Private business,85000.0
1059,United States,Microsoft SQL Server,19,Full time employee,DBA,46,Private business,130000.0
1060,United States,Microsoft SQL Server,20,Full time employee,Architect,45,Government,108000.0
1061,Canada,Microsoft SQL Server,12,Full time employee,Developer,40,Private business,57800.0
1062,United States,Microsoft SQL Server,14,Full time employee,DBA,50,Private business,170000.0
1063,United States,Microsoft SQL Server,13,Full time employee,Architect,55,Private business,125000.0
1064,New Zealand,Microsoft SQL Server,11,Full time employee,Architect,38,Private business,100000.0
1065,United States,Microsoft SQL Server,12,Full time employee,Engineer,50,Private business,76000.0
1066,Australia,Microsoft SQL Server,17,Full time employee,DBA,40,Private business,106000.0
1067,United States,Microsoft SQL Server,7,Full time employee,Architect,45,Private business,107540.0
1068,United States,Microsoft SQL Server,20,Full time employee,Developer,40,Private business,75000.0
1069,Canada,Microsoft SQL Server,30,Full time employee,DBA,44,Government,64000.0
1070,United States,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,68000.0
1071,Australia,Microsoft SQL Server,3,Full time employee,Developer,40,Private business,55000.0
1072,Ireland,PostgreSQL,10,Full time employee,Developer,40,Private business,110000.0
1073,Canada,Microsoft SQL Server,15,Full time employee,Developer,35,Private business,69508.0
1074,United States,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,118500.0
1075,United States,Microsoft SQL Server,4,Full time employee,Developer,40,Private business,45000.0
1076,United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,124000.0
1077,United States,Microsoft SQL Server,1,Full time employee,DBA,40,Private business,52000.0
1078,Canada,Microsoft SQL Server,20,Full time employee,DBA,35,Private business,70000.0
1079,Australia,Microsoft SQL Server,2,Full time employee,DBA,45,Private business,54000.0
1080,Australia,Microsoft SQL Server,15,Full time employee,Developer,37,Government,77056.0
1081,United States,SAP,2,Full time employee,Architect,40,Private business,104500.0
1082,United States,Microsoft SQL Server,20,Full time employee,Architect,40,Private business,195000.0
1083,United States,Microsoft SQL Server,18,Full time employee,Developer,40,Private business,115000.0
1084,United States,Microsoft SQL Server,7,Full time employee,DBA,50,Private business,88000.0
1085,Sweden,Microsoft SQL Server,16,Independent,Developer,40,Private business,65000.0
1086,Canada,Microsoft SQL Server,17,Independent,Architect,30,Private business,180000.0
1087,United States,Microsoft SQL Server,8,Full time employee,Developer,40,Private business,120000.0
1088,United States,Microsoft SQL Server,18,Full time employee,DBA,55,Government,127000.0
1089,United States,Microsoft SQL Server,9,Full time employee,Developer,48,Government,106000.0
1090,Australia,Microsoft SQL Server,14,Full time employee,Analyst,60,Private business,74104.0
1091,United States,Microsoft SQL Server,6,Full time employee,Architect,40,Private business,110000.0
1092,United States,Microsoft SQL Server,16,Full time employee,DBA,40,Private business,113500.0
1093,United States,Microsoft SQL Server,18,Full time employee,DBA,50,Private business,120000.0
1094,Australia,Microsoft SQL Server,4,Full time employee,Engineer,38,Government,60000.0
1095,Australia,Microsoft SQL Server,9,Full time employee,DBA,40,Private business,120000.0
1096,United States,Microsoft SQL Server,13,Full time employee,Manager,40,Private business,134000.0
1097,United States,Microsoft SQL Server,3,Full time employee,Manager,50,Private business,85000.0
1098,United States,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,86000.0
1099,United States,Microsoft SQL Server,6,Full time employee,DBA,50,Private business,85000.0
1100,United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,145000.0
1101,United States,Microsoft SQL Server,12,Full time employee,Architect,50,Government,140000.0
1102,United States,Microsoft SQL Server,7,Full time employee,Developer,42,Private business,136000.0
1103,United States,Microsoft SQL Server,11,Full time employee,Developer,35,Private business,85000.0
1104,United States,Microsoft SQL Server,7,Full time employee,Developer,44,Private business,90000.0
1105,India,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,25000.0
1106,United States,Microsoft SQL Server,14,Full time employee,DBA,38,Government,84000.0
1107,United States,Microsoft SQL Server,17,Full time employee,Developer,45,Private business,120000.0
1108,United States,Microsoft SQL Server,14,Full time employee,DBA,40,Government,100000.0
1109,United States,Microsoft SQL Server,14,Full time employee,Architect,45,Private business,103000.0
1110,United States,Oracle,1,Full time employee,Analyst,50,Government,130000.0
1111,Sweden,Microsoft SQL Server,5,Full time employee,Engineer,40,Private business,40000.0
1112,Australia,Microsoft SQL Server,6,Full time employee,DBA,35,Private business,100000.0
1113,Bolivia,Microsoft SQL Server,16,Independent,DBA,32,Private business,60000.0
1114,United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,110000.0
1115,United States,Microsoft SQL Server,6,Full time employee,Developer,40,Private business,95000.0
1116,United States,Microsoft SQL Server,15,Full time employee,DBA,45,Private business,169000.0
1117,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,135000.0
1118,India,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,12000.0
1119,United States,Microsoft SQL Server,17,Full time employee,Manager,55,Private business,168000.0
1120,Argentina,Microsoft SQL Server,3,Full time employee,DBA,44,Private business,31300.0
1121,United States,Microsoft SQL Server,16,Full time employee,Developer,40,Private business,83000.0
1122,United States,Oracle,13,Full time employee,DBA,55,Private business,103000.0
1123,United States,Microsoft SQL Server,10,Full time employee,Developer,50,Private business,102000.0
1124,United States,Microsoft SQL Server,3,Full time employee,Other,50,Private business,90000.0
1125,United States,Microsoft SQL Server,8,Full time employee,DBA,60,Private business,132000.0
1126,Vietnam,Microsoft SQL Server,5,Full time employee,Architect,40,Private business,36000.0
1127,United States,Microsoft SQL Server,25,Full time employee,Architect,80,Private business,130000.0
1128,India,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,22000.0
1129,Australia,Microsoft SQL Server,7,Independent,DBA,40,Government,200000.0
1130,United States,Microsoft SQL Server,5,Full time employee,Engineer,45,Private business,71000.0
1131,United States,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,65000.0
1132,New Zealand,Microsoft SQL Server,4,Full time employee,Developer,40,Private business,61000.0
1133,United States,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,53000.0
1134,United States,Microsoft SQL Server,15,Full time employee,DBA,45,Private business,120000.0
1135,United States,Microsoft SQL Server,5,Full time employee,DBA,50,Private business,80000.0
1136,India,Microsoft SQL Server,2,Full time employee,DBA,54,Private business,4423.0
1137,India,Microsoft SQL Server,4,Full time employee,DBA,45,Private business,11300.0
1138,India,Microsoft SQL Server,10,Full time employee,DBA,50,Private business,30500.0
1139,Australia,Microsoft SQL Server,14,Full time employee,DBA,50,Private business,120000.0
1140,United States,Microsoft SQL Server,1,Full time employee,DBA,40,Private business,48500.0
1141,India,Microsoft SQL Server,1,Full time employee,DBA,30,Private business,4420.0
1142,South Africa,Microsoft SQL Server,13,Full time employee,Developer,45,Private business,54500.0
1143,India,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,253000.0
1144,India,Microsoft SQL Server,2,Full time employee,DBA,45,Private business,5500.0
1145,India,Microsoft SQL Server,1,Full time employee,DBA,60,Private business,14000.0
1146,United States,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,176000.0
1147,Switzerland,Microsoft SQL Server,20,Full time employee,DBA,42,Government,120000.0
1148,United States,Microsoft SQL Server,16,Full time employee,DBA,45,Private business,117600.0
1149,Switzerland,Microsoft SQL Server,15,Full time employee,DBA,45,Government,135000.0
1150,South Africa,Microsoft SQL Server,5,Full time employee,Analyst,40,Private business,51500.0
1151,South Africa,Microsoft SQL Server,8,Independent,Other,40,Private business,100000.0
1152,Denmark,Microsoft SQL Server,3,Full time employee,DBA,37,Private business,60000.0
1153,United States,Microsoft SQL Server,7,Full time employee,Analyst,35,Government,79000.0
1154,Israel,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,72000.0
1155,Germany,Microsoft SQL Server,14,Full time employee,DBA,40,Private business,66600.0
1156,India,Microsoft SQL Server,5,Full time employee,DBA,45,Private business,11000.0
1157,Germany,Microsoft SQL Server,5,Full time employee,Analyst,42,Private business,55000.0
1158,South Africa,Microsoft SQL Server,9,Full time employee,DBA,45,Private business,29200.0
1159,Poland,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,42000.0
1160,Germany,Microsoft SQL Server,18,Full time employee,Architect,60,Private business,250000.0
1161,Netherlands,Microsoft SQL Server,20,Full time employee,Developer,36,Government,59000.0
1162,United States,Microsoft SQL Server,10,Full time employee,Engineer,50,Private business,140000.0
1163,India,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,18000.0
1164,Germany,Microsoft SQL Server,5,Full time employee,Developer,40,Private business,44000.0
1165,India,Microsoft SQL Server,6,Full time employee,DBA,45,Private business,1600.0
1166,Denmark,Microsoft SQL Server,6,Full time employee,Developer,40,Private business,77000.0
1167,Turkey,Microsoft SQL Server,6,Full time employee,Developer,50,Private business,1250.0
1168,India,Microsoft SQL Server,11,Full time employee,Analyst,40,Private business,29000.0
1169,Germany,Microsoft SQL Server,3,Full time employee,DBA,40,Government,60000.0
1170,Netherlands,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,65000.0
1171,Netherlands,Microsoft SQL Server,12,Full time employee,DBA,45,Private business,60000.0
1172,India,Microsoft SQL Server,4,Full time employee,DBA,10,Private business,7515.0
1173,Denmark,Microsoft SQL Server,15,Full time employee,Developer,37,Private business,6200.0
1174,France,Microsoft SQL Server,15,Full time employee,Manager,50,Private business,56200.0
1175,United States,Microsoft SQL Server,7,Full time employee,Developer,38,Private business,131000.0
1176,United States,Microsoft SQL Server,15,Full time employee,Architect,40,Private business,170000.0
1177,Australia,Microsoft SQL Server,15,Full time employee,Analyst,38,Government,70000.0
1178,United States,Microsoft SQL Server,12,Full time employee,DBA,45,Government,66000.0
1179,Slovenia,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,25500.0
1180,United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,38,Government,56000.0
1181,United Kingdom,Microsoft SQL Server,15,Independent,DBA,40,Government,118838.0
1182,India,Microsoft SQL Server,4,Full time employee,DBA,45,Private business,11119.0
1183,Ireland,Microsoft SQL Server,15,Full time employee,Developer,40,Government,63500.0
1184,India,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,22941.0
1185,United Kingdom,DB2,30,Full time employee,DBA,37,Private business,68000.0
1186,Romania,Microsoft SQL Server,2,Full time employee,DBA,40,Private business,25000.0
1187,South Africa,Microsoft SQL Server,11,Full time employee,DBA,45,Private business,41333.0
1188,United Kingdom,Microsoft SQL Server,8,Full time employee,Developer,35,Private business,45000.0
1189,Czech Republic,Microsoft SQL Server,6,Full time employee,DBA,40,Government,12600.0
1190,United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,65000.0
1191,Netherlands,Microsoft SQL Server,8,Full time employee,Developer,40,Private business,60300.0
1192,Netherlands,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,65000.0
1193,United Kingdom,Microsoft SQL Server,17,Full time employee,DBA,35,Private business,100000.0
1194,Sweden,Microsoft SQL Server,16,Full time employee,Other,40,Government,50000.0
1195,United Kingdom,Microsoft SQL Server,8,Full time employee,DBA,35,Private business,61000.0
1196,India,Microsoft SQL Server,7,Full time employee,DBA,45,Private business,11000.0
1197,United Kingdom,Microsoft SQL Server,2,Full time employee,DBA,37,Government,28739.0
1198,United Kingdom,Microsoft SQL Server,5,Full time employee,DBA,35,Private business,39000.0
1199,Sweden,Microsoft SQL Server,17,Full time employee,DBA,40,Private business,76500.0
1200,United Kingdom,Microsoft SQL Server,7,Full time employee,DBA,37,Private business,55712.0
1201,Australia,Amazon RDS,4,Full time employee,Architect,45,Private business,200000.0
1202,Germany,Microsoft SQL Server,15,Full time employee,DBA,43,Private business,89167.0
1203,United Kingdom,Microsoft SQL Server,8,Full time employee,Developer,40,Private business,79240.0
1204,United Kingdom,Microsoft SQL Server,7,Full time employee,Developer,40,Private business,40000.0
1205,United Kingdom,Microsoft SQL Server,7,Full time employee,Developer,40,Private business,61000.0
1206,Belgium,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,50000.0
1207,Germany,Microsoft SQL Server,15,Full time employee,Developer,45,Private business,42500.0
1208,United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,60000.0
1209,United Kingdom,Microsoft SQL Server,17,Full time employee,Developer,35,Private business,69000.0
1210,United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,52000.0
1211,United Kingdom,Microsoft SQL Server,16,Full time employee,Engineer,40,Private business,34000.0
1212,United Kingdom,Microsoft SQL Server,17,Full time employee,DBA,40,Government,40000.0
1213,United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,140000.0
1214,France,Microsoft SQL Server,11,Full time employee,DBA,35,Private business,60000.0
1215,Germany,Microsoft SQL Server,15,Full time employee,Analyst,40,Private business,68000.0
1216,United Kingdom,Microsoft SQL Server,0,Full time employee,DBA,37,Private business,37166.0
1217,United Kingdom,Microsoft SQL Server,12,Full time employee,DBA,38,Private business,59000.0
1218,United Kingdom,Microsoft SQL Server,17,Independent,DBA,30,Private business,55000.0
1219,United Kingdom,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,75000.0
1220,United Kingdom,Microsoft SQL Server,1,Full time employee,DBA,37,Private business,30000.0
1221,India,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,24000.0
1222,United Kingdom,Microsoft SQL Server,6,Full time employee,DBA,40,Government,49000.0
1223,United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,38,Government,46300.0
1224,United Kingdom,Microsoft SQL Server,23,Full time employee,Architect,42,Government,68000.0
1225,Germany,Microsoft SQL Server,13,Full time employee,DBA,40,Private business,66400.0
1226,Switzerland,Microsoft SQL Server,2,Full time employee,DBA,42,Government,100000.0
1227,United Kingdom,Microsoft SQL Server,20,Full time employee,DBA,38,Government,50000.0
1228,United Kingdom,Microsoft SQL Server,25,Full time employee,DBA,38,Private business,51000.0
1229,Norway,SAP,12,Full time employee,DBA,43,Private business,105000.0
1230,United Kingdom,Microsoft SQL Server,10,Full time employee,Developer,45,Private business,55730.0
1231,Romania,Microsoft SQL Server,15,Full time employee,Architect,40,Private business,22000.0
1232,United Kingdom,Microsoft SQL Server,16,Full time employee,Developer,45,Private business,65642.0
1233,Lithuania,Microsoft SQL Server,4,Full time employee,Engineer,40,Private business,19000.0
1234,Australia,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,80000.0
1235,United Kingdom,Microsoft SQL Server,6,Full time employee,Engineer,35,Private business,55700.0
1236,Netherlands,Microsoft SQL Server,20,Full time employee,DBA,40,Private business,75000.0
1237,United Kingdom,Microsoft SQL Server,20,Full time employee,DBA,38,Private business,78000.0
1238,United Kingdom,Microsoft SQL Server,11,Full time employee,Developer,38,Private business,48000.0
1239,United Kingdom,Microsoft SQL Server,11,Full time employee,DBA,40,Private business,63176.0
1240,United Kingdom,Microsoft SQL Server,1,Full time employee,DBA,35,Private business,31000.0
1241,South Africa,Microsoft SQL Server,22,Full time employee,Architect,40,Private business,85000.0
1242,United States,Microsoft SQL Server,20,Full time employee,Architect,55,Private business,118000.0
1243,United Kingdom,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,60000.0
1244,China,Microsoft SQL Server,7,Full time employee,Developer,40,Private business,66000.0
1245,Netherlands,Microsoft SQL Server,17,Full time employee,Architect,38,Private business,63000.0
1246,Czech Republic,Microsoft SQL Server,15,Full time employee,DBA,40,Private business,47000.0
1247,United Kingdom,Microsoft SQL Server,3,Full time employee,Developer,37,Private business,38404.0
1248,United Kingdom,Microsoft SQL Server,10,Full time employee,Architect,40,Private business,71000.0
1249,United Kingdom,Microsoft SQL Server,7,Full time employee,DBA,38,Private business,55000.0
1250,Luxembourg,Microsoft SQL Server,15,Full time employee,DBA,38,Private business,80000.0
1251,South Africa,Microsoft SQL Server,16,Full time employee,Other,45,Private business,59401.0
1252,United Kingdom,Microsoft SQL Server,5,Full time employee,Engineer,37,Government,36000.0
1253,Netherlands,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,70000.0
1254,Ukraine,MySQL/MariaDB,1,Full time employee,Developer,40,Private business,27000.0
1255,India,Microsoft SQL Server,8,Full time employee,DBA,48,Government,7650.0
1256,United Kingdom,Microsoft SQL Server,8,Full time employee,DBA,45,Private business,50000.0
1257,Germany,Microsoft SQL Server,8,Full time employee,Developer,38,Private business,90000.0
1258,Brazil,Microsoft SQL Server,5,Full time employee,Analyst,40,Private business,20484.0
1259,United Kingdom,Microsoft SQL Server,8,Full time employee,DBA,35,Private business,80000.0
1260,Iceland,Microsoft SQL Server,10,Full time employee,Developer,46,Private business,100000.0
1261,United Kingdom,Microsoft SQL Server,1,Full time employee,Analyst,37,Private business,40000.0
1262,United Kingdom,Microsoft SQL Server,4,Full time employee,Developer,35,Private business,39616.0
1263,United Kingdom,Microsoft SQL Server,3,Full time employee,Developer,40,Private business,42109.0
1264,United Kingdom,Microsoft SQL Server,21,Full time employee,DBA,45,Private business,70500.0
1265,India,Microsoft SQL Server,5,Full time employee,DBA,35,Private business,21350.0
1266,Jersey,Microsoft SQL Server,12,Full time employee,Analyst,46,Government,101500.0
1267,United Kingdom,Microsoft SQL Server,6,Full time employee,Engineer,40,Private business,40000.0
1268,Serbia and Montenegro,Oracle,15,Full time employee,DBA,50,Government,10000.0
1269,United Kingdom,Microsoft SQL Server,10,Full time employee,Architect,40,Private business,77947.0
1270,Jamaica,Oracle,7,Full time employee,DBA,40,Private business,34375.0
1271,United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,57000.0
1272,United Kingdom,Microsoft SQL Server,18,Full time employee,Developer,38,Government,35577.0
1273,United Kingdom,Microsoft SQL Server,2,Full time employee,DBA,40,Private business,40000.0
1274,United Kingdom,Microsoft SQL Server,5,Full time employee,Analyst,38,Private business,38940.0
1275,Turkey,Microsoft SQL Server,2,Full time employee,DBA,45,Private business,12000.0
1276,Ireland,Microsoft SQL Server,20,Full time employee,Developer,50,Private business,100000.0
1277,United Kingdom,Microsoft SQL Server,5,Full time employee,Developer,37,Private business,31650.0
1278,United States,Microsoft SQL Server,7,Full time employee,Developer,40,Private business,80000.0
1279,Turkey,Microsoft SQL Server,10,Full time employee,Developer,50,Private business,20000.0
1280,United Kingdom,Other,1,Full time employee,Analyst,38,Private business,27280.0
1281,Norway,Microsoft SQL Server,17,Full time employee,Developer,50,Private business,85000.0
1282,Canada,Microsoft SQL Server,10,Full time employee,Developer,38,Private business,85000.0
1283,United States,Oracle,30,Full time employee,Architect,50,Private business,250000.0
1284,Belgium,Microsoft SQL Server,10,Full time employee,Developer,40,Private business,40000.0
1285,Portugal,Oracle,9,Full time employee,Developer,45,Private business,40000.0
1286,Turkey,Microsoft SQL Server,6,Full time employee,DBA,40,Private business,40000.0
1287,Czech Republic,Oracle,8,Full time employee,Developer,40,Private business,27000.0
1288,United States,Microsoft SQL Server,18,Full time employee,DBA,40,Private business,95000.0
1289,United States,Microsoft SQL Server,15,Full time employee,DBA,50,Private business,115000.0
1290,Denmark,Microsoft SQL Server,14,Full time employee,Engineer,38,Private business,100000.0
1291,India,Microsoft SQL Server,3,Full time employee,DBA,48,Private business,4118.0
1292,India,Microsoft SQL Server,2,Full time employee,DBA,40,Private business,545.0
1293,India,Microsoft SQL Server,6,Full time employee,Analyst,40,Private business,14000.0
1294,Netherlands,Microsoft SQL Server,5,Full time employee,Developer,36,Private business,44000.0
1295,Norway,Microsoft SQL Server,20,Full time employee,DBA,50,Private business,85000.0
1296,India,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,15500.0
1297,United States,Microsoft SQL Server,6,Full time employee,Developer,45,Private business,103000.0
1298,United Kingdom,Microsoft SQL Server,11,Full time employee,Manager,41,Private business,61000.0
1299,United States,Microsoft SQL Server,7,Full time employee,Developer,44,Private business,105000.0
1300,United States,Microsoft SQL Server,17,Full time employee,DBA,45,Private business,120000.0
1301,Denmark,Microsoft SQL Server,12,Full time employee,DBA,37,Private business,100000.0
1302,United Kingdom,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,72000.0
1303,Moldova,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,8200.0
1304,United States,Microsoft SQL Server,12,Full time employee,Developer,55,Private business,70000.0
1305,United States,Microsoft SQL Server,25,Full time employee,DBA,45,Private business,105000.0
1306,United States,Microsoft SQL Server,2,Full time employee,DBA,45,Private business,53500.0
1307,United States,Microsoft SQL Server,20,Full time employee,Developer,45,Private business,93000.0
1308,United States,Microsoft SQL Server,15,Full time employee,DBA,50,Private business,130000.0
1309,Turkey,Oracle,7,Full time employee,Developer,40,Private business,27000.0
1310,United States,Microsoft SQL Server,4,Full time employee,Developer,40,Government,62000.0
1311,United States,Microsoft SQL Server,3,Full time employee,Analyst,40,Government,66000.0
1312,United States,Microsoft SQL Server,17,Full time employee,Developer,42,Private business,98000.0
1313,United Kingdom,Microsoft SQL Server,5,Full time employee,DBA,37,Private business,48119.0
1314,United States,Microsoft SQL Server,5,Full time employee,DBA,50,Private business,108000.0
1315,United Kingdom,Microsoft SQL Server,15,Full time employee,DBA,38,Private business,65500.0
1316,United Kingdom,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,49000.0
1317,United States,Oracle,5,Full time employee,DBA,50,Private business,105000.0
1318,United States,Microsoft SQL Server,4,Full time employee,DBA,40,Private business,72000.0
1319,Netherlands,Microsoft SQL Server,4,Full time employee,Engineer,36,Private business,42000.0
1320,United Kingdom,Microsoft SQL Server,5,Full time employee,Developer,35,Private business,60477.0
1321,United States,Microsoft SQL Server,12,Full time employee,DBA,40,Private business,82000.0
1322,United Kingdom,Elasticsearch,1,Full time employee,Manager,60,Private business,135000.0
1323,United Kingdom,Microsoft SQL Server,8,Full time employee,DBA,40,Private business,8000.0
1324,United States,Microsoft SQL Server,4,Full time employee,Developer,45,Private business,75000.0
1325,United Kingdom,Microsoft SQL Server,10,Full time employee,Analyst,37,Government,47000.0
1326,United States,Microsoft SQL Server,8,Full time employee,DBA,45,Private business,87000.0
1327,United States,Microsoft SQL Server,17,Full time employee,Developer,40,Private business,105000.0
1328,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Private business,106300.0
1329,United States,Oracle,17,Full time employee,Engineer,45,Private business,117000.0
1330,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Government,85000.0
1331,United States,Microsoft SQL Server,17,Full time employee,DBA,45,Private business,141000.0
1332,United States,Microsoft SQL Server,20,Full time employee,Architect,50,Private business,132000.0
1333,United States,Microsoft SQL Server,12,Full time employee,DBA,45,Government,95000.0
1334,United States,Microsoft SQL Server,10,Full time employee,DBA,45,Private business,115000.0
1335,United States,Microsoft SQL Server,3,Full time employee,DBA,40,Private business,85000.0
1336,United States,Microsoft SQL Server,15,Full time employee,Manager,50,Private business,130271.0
1337,United States,Microsoft SQL Server,6,Full time employee,DBA,42,Private business,101500.0
1338,United States,Microsoft SQL Server,10,Full time employee,DBA,40,Government,98000.0
1339,United Kingdom,Microsoft SQL Server,9,Full time employee,Developer,42,Private business,49000.0
1340,United States,Microsoft SQL Server,17,Full time employee,Developer,40,Private business,100000.0
1341,Romania,Microsoft SQL Server,11,Independent,Developer,50,Private business,42000.0
1342,United Kingdom,Microsoft SQL Server,4,Full time employee,DBA,39,Private business,36500.0
1343,United States,Microsoft SQL Server,7,Full time employee,DBA,40,Private business,87000.0
